Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_10480_2020, Art. 1º, caput",2,3,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | ] Este Decreto dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015.",urn:lex:br:federal:decreto:2020-09-01;10480!art1_cpt
"CPT","decreto_10480_2020, Art. 2º, caput",6,11,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | ] Para fins do disposto neste Decreto, consideram-se: grupo econômico - entidade empresarial ou conjunto de entidades empresariais que possuam relação de controle, na forma de controladoras, de controladas ou de coligadas, nos termos estabelecidos pela Agência Nacional de Telecomunicações - Anatel; e órgão ou entidade gestora - pessoa jurídica de direito público responsável por conceder o serviço associado à infraestrutura de interesse público, por autorizar sua implantação ou por seu custeio.",urn:lex:br:federal:decreto:2020-09-01;10480!art2_cpt
"CPT","decreto_10480_2020, Art. 3º, caput",16,31,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] Para fins do disposto no art. 16 da Lei nº 13.116, de 2015, consideram-se obras de infraestrutura de interesse público: a implantação, a ampliação e a adequação da capacidade de rodovias federais, estaduais e distritais e de vias municipais; e a implantação ou a ampliação: da capacidade de ferrovias; de sistemas de transporte público sobre trilhos ou subterrâneos; de linhas de transmissão de energia elétrica; de gasodutos, de oleodutos ou de outros dutos para a movimentação de hidrocarbonetos fluidos e de biocombustíveis; e de redes de esgotamento sanitário e de drenagem urbana.",urn:lex:br:federal:decreto:2020-09-01;10480!art3_cpt
"CPT","decreto_10480_2020, Art. 4º, caput",34,41,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] O planejamento das obras de que trata o art. 3º abrangerá a instalação de infraestrutura de redes de telecomunicações, exceto nas hipóteses de: estado de emergência; calamidade pública; ou estado defesa.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_cpt
"PAR","decreto_10480_2020, Art. 4º, § 1º",42,43,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] Os órgãos ou as entidades gestoras das obras de que trata o art. 3º terão preferência na execução da obra de instalação de infraestrutura de redes de telecomunicações.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_par1
"PAR","decreto_10480_2020, Art. 4º, § 2º",44,45,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] Na hipótese de concessão, permissão ou autorização, o planejamento e a execução das obras a que se refere o caput poderá competir à respectiva concessionária, permissionária ou autorizatária.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_par2
"PAR","decreto_10480_2020, Art. 4º, § 3º",46,47,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] Na hipótese de não haver interesse dos órgãos e das entidades a que se referem os § 1º e § 2º, o procedimento para averiguação dos interessados em instalar a infraestrutura de redes de telecomunicações será instaurado, nos termos do disposto na Seção II.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_par3
"PAR","decreto_10480_2020, Art. 4º, § 4º",48,49,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] Após a realização do procedimento de que trata o § 3º, na hipótese de não haver interessados, o Poder Público estará isento da obrigação de instalação de infraestrutura de redes de telecomunicações.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_par4
"PAR","decreto_10480_2020, Art. 4º, § 5º",50,51,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] O disposto no caput não se aplica ao planejamento das obras de adequação da capacidade de rodovias federais, estaduais e distritais e de vias municipais, desde que o órgão ou a entidade gestora demonstre previamente a sua inviabilidade técnica.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_par5
"PAR","decreto_10480_2020, Art. 4º, § 6º",52,53,"[ Dispõe sobre medidas para estimular o desenvolvimento da infraestrutura de redes de telecomunicações e regulamenta a Lei nº 13.116, de 20 de abril de 2015. | DA IMPLANTAÇÃO CONJUNTA DE INFRAESTRUTURA | Disposições gerais | ] O planejamento das obras cujos estudos já tenham sido contratados ou estejam em fase de elaboração na data de publicação deste Decreto ﬁcará isento de abranger a instalação de infraestrutura de redes de telecomunicações.",urn:lex:br:federal:decreto:2020-09-01;10480!art4_par6
