Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_11713_2023, Art. 1º, caput",2,3,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] Fica instituída a Estratégia Nacional de Escolas Conectadas - Enec, com a finalidade de articular ações para universalizar a conectividade de qualidade para uso pedagógico e administrativo nos estabelecimentos de ensino da rede pública da educação básica.",urn:lex:br:federal:decreto:2023-09-26;11713!art1_cpt
"PAR","decreto_11713_2023, Art. 1º, Parágrafo único.",4,23,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] A Enec considerará as dimensões de infraestrutura e equipamentos previstas: nos seguintes dispositivos da Lei nº 9.394, de 20 de dezembro de 1996: inciso IX do caput do art. 3º; inciso XII do caput do art. 4º; e art. 8º; no § 2º do art. 1º da Lei nº 9.998, de 17 de agosto de 2000; nas estratégias 7.15 e 7.20 da meta 7 do Anexo à Lei nº 13.005, de 25 de junho de 2014; na Lei nº 14.172, de 10 de junho de 2021; na Lei nº 14.180, de 1º de julho de 2021; e no inciso VI do caput do art. 2º da Lei nº 14.533, de 11 de janeiro de 2023.",urn:lex:br:federal:decreto:2023-09-26;11713!art1_par1u
"CPT","decreto_11713_2023, Art. 2º, caput",26,33,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] A Enec visa conjugar esforços de órgãos e entidades da União, dos Estados, do Distrito Federal e dos Municípios, de escolas, do setor empresarial e da sociedade civil para a consecução dos seguintes objetivos: promover a universalização da conectividade de estabelecimentos de ensino da rede pública da educação básica; fomentar a equidade de oportunidades de acesso às tecnologias digitais no processo de ensino e aprendizagem; e contribuir com a aprendizagem digital e com o aperfeiçoamento da gestão por meio da ampliação do acesso à internet e às tecnologias digitais pelos estudantes, pelos professores e pelos gestores da rede pública de educação básica.",urn:lex:br:federal:decreto:2023-09-26;11713!art2_cpt
"CPT","decreto_11713_2023, Art. 3º, caput",36,63,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] A conectividade de estabelecimentos de ensino da rede pública da educação básica contemplará: conexão em alta velocidade que permita: a realização de atividades pedagógicas e administrativas online; o uso de recursos educacionais e de gestão; e o acesso a áudios, vídeos, jogos e plataformas de streaming; disponibilidade de rede sem fio no ambiente escolar, composto por: salas de aula; bibliotecas; laboratórios; salas de professores; áreas comuns; e áreas administrativas; disponibilidade de ferramentas para seu monitoramento constante e para garantia da segurança da informação; e disponibilidade de equipamentos e dispositivos de acesso à internet adequados para fins administrativos e educacionais.",urn:lex:br:federal:decreto:2023-09-26;11713!art3_cpt
"PAR","decreto_11713_2023, Art. 3º, Parágrafo único.",64,79,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] Para garantir a conectividade de que trata o caput, serão adotadas as seguintes ações, sem prejuízo da adoção de medidas adicionais: disponibilização de energia elétrica por intermédio do acesso à rede pública de energia ou da instalação de tecnologias de energias renováveis; expansão da conexão à internet de alta velocidade por meio de implantação e manutenção de rede de fibra ótica, de conexão via satélite ou de outros serviços de acesso à internet de alta velocidade; contratação de serviços de acesso à internet de alta velocidade; disponibilização de rede sem fio para acesso à internet no ambiente escolar; disponibilização de equipamentos e dispositivos eletrônicos de acesso à internet; suporte técnico, monitoramento e manutenção dos dispositivos eletrônicos e das redes sem fio; e estímulo ao desenvolvimento de soluções inovadoras que auxiliem na consecução dos objetivos da Enec.",urn:lex:br:federal:decreto:2023-09-26;11713!art3_par1u
"CPT","decreto_11713_2023, Art. 4º, caput",82,83,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] A Enec será implementada de forma articulada a outras iniciativas destinadas ao fomento do uso pedagógico de tecnologias digitais e à inserção da educação digital na educação básica.",urn:lex:br:federal:decreto:2023-09-26;11713!art4_cpt
"CPT","decreto_11713_2023, Art. 5º, caput",86,87,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] As ações executadas no âmbito da Enec poderão complementar outras iniciativas de conectividade de estabelecimentos de ensino da rede pública da educação básica, com vistas a garantir a consecução das metas e dos parâmetros técnicos de conectividade estabelecidos pelo Comitê Executivo de que trata o art. 6º.",urn:lex:br:federal:decreto:2023-09-26;11713!art5_cpt
"CPT","decreto_11713_2023, Art. 6º, caput",90,91,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] Fica instituído o Comitê Executivo da Estratégia Nacional de Escolas Conectadas.",urn:lex:br:federal:decreto:2023-09-26;11713!art6_cpt
"PAR","decreto_11713_2023, Art. 6º, § 1º",92,107,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] Ao Comitê Executivo compete: articular as políticas, os planos, os programas, as iniciativas e a disponibilização de recursos relacionados à conectividade de estabelecimentos de ensino da rede pública da educação básica; estabelecer metas para a consecução dos objetivos da Enec; definir e publicizar parâmetros técnicos para contratação, gestão e manutenção dos serviços de fornecimento de energia elétrica e de acesso à internet; definir e publicizar referenciais técnicos sobre a infraestrutura interna para distribuição do sinal de internet nos estabelecimentos de ensino da rede pública da educação básica; definir critérios e mecanismos de monitoramento da qualidade da conexão nos estabelecimentos de ensino da rede pública da educação básica; monitorar as iniciativas e avaliar os resultados das ações da Enec; e monitorar a conectividade de estabelecimentos de ensino da rede pública da educação básica.",urn:lex:br:federal:decreto:2023-09-26;11713!art6_par1
"PAR","decreto_11713_2023, Art. 6º, § 2º",108,109,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] As metas e os documentos técnicos aprovados pelo Comitê Executivo servirão como referência para a atuação dos órgãos e colegiados relacionados ao objeto deste Decreto, especialmente do Grupo de Acompanhamento do Custeio a Projetos de Conectividade de Escolas e do Conselho Gestor do Fundo de Universalização dos Serviços de Telecomunicações.",urn:lex:br:federal:decreto:2023-09-26;11713!art6_par2
"CPT","decreto_11713_2023, Art. 7º, caput",112,137,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] O Comitê Executivo é composto por: dois representantes dos seguintes órgãos: Ministério da Educação, um dos quais o coordenará; Casa Civil da Presidência da República; e Ministério das Comunicações; e um representante dos seguintes órgãos e entidades: Ministério da Ciência, Tecnologia e Inovação; Ministério de Minas e Energia; Agência Nacional de Telecomunicações - Anatel; Fundo Nacional de Desenvolvimento da Educação - FNDE; Telecomunicações Brasileiras S.A. - Telebras; Banco Nacional de Desenvolvimento Econômico e Social - BNDES; e Rede Nacional de Ensino e Pesquisa - RNP.",urn:lex:br:federal:decreto:2023-09-26;11713!art7_cpt
"PAR","decreto_11713_2023, Art. 7º, § 1º",138,139,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] Cada membro do Comitê Executivo terá um suplente, que o substituirá em suas ausências e seus impedimentos.",urn:lex:br:federal:decreto:2023-09-26;11713!art7_par1
"PAR","decreto_11713_2023, Art. 7º, § 2º",140,141,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] Os membros do Comitê Executivo e os respectivos suplentes serão indicados pelos titulares dos órgãos e entidades que representam e designados em ato do Ministro de Estado da Educação.",urn:lex:br:federal:decreto:2023-09-26;11713!art7_par2
"PAR","decreto_11713_2023, Art. 7º, § 3º",142,143,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] O Comitê Executivo poderá convidar representantes de outros órgãos e entidades, públicos e privados, e especialistas de notório conhecimento para participar de suas reuniões, sem direito a voto.",urn:lex:br:federal:decreto:2023-09-26;11713!art7_par3
"PAR","decreto_11713_2023, Art. 7º, § 4º",144,149,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] O Comitê Executivo poderá instituir grupos de trabalho temporários com o objetivo de: analisar e articular soluções para assuntos específicos relacionados à matéria; e desenvolver projetos e atividades acerca da conectividade por qualquer um de seus membros.",urn:lex:br:federal:decreto:2023-09-26;11713!art7_par4
"PAR","decreto_11713_2023, Art. 7º, § 5º",150,151,"[ Institui a Estratégia Nacional de Escolas Conectadas. | ] O Comitê Executivo se reunirá, em caráter ordinário, bimestralmente e, em caráter extraordinário, mediante solicitação de qualquer um de seus membros e convocação do seu Coordenador.",urn:lex:br:federal:decreto:2023-09-26;11713!art7_par5
