Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_2338_1997.anexo1, Art. 1º, caput",4,5,"[ DA ORGANIZAÇÃO | Da Instalação | ] A Agência Nacional de Telecomunicações, criada pela Lei nº 9.472, de 16 de julho de 1997, é entidade integrante da Administração Pública Federal indireta, submetida a regime autárquico especial e vinculada ao Ministério das Comunicações, com a função de órgão regulador das telecomunicações.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art1_cpt
"PAR","decreto_2338_1997.anexo1, Art. 1º, § 1º",6,7,"[ DA ORGANIZAÇÃO | Da Instalação | ] A natureza de autarquia especial conferida à Agência é caracterizada por independência administrativa, autonomia financeira, ausência de subordinação hierárquica, bem como mandato fixo e estabilidade de seus dirigentes.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art1_par1
"PAR","decreto_2338_1997.anexo1, Art. 1º, § 2º",8,9,"[ DA ORGANIZAÇÃO | Da Instalação | ] A Agência atuará como autoridade administrativa independente, assegurando-se-lhe, nos termos da Lei, as prerrogativas necessárias ao exercício adequado de sua competência.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art1_par2
"PAR","decreto_2338_1997.anexo1, Art. 1º, § 3º",10,11,"[ DA ORGANIZAÇÃO | Da Instalação | ] A Agência tem sede e foro na Capital da República e atuação em todo o território nacional.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art1_par3
"PAR","decreto_2338_1997.anexo1, Art. 1º, § 4º",12,13,"[ DA ORGANIZAÇÃO | Da Instalação | ] A extinção da Agência somente ocorrerá por lei específica.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art1_par4
"CPT","decreto_2338_1997.anexo1, Art. 2º, caput",16,17,"[ DA ORGANIZAÇÃO | Da Instalação | ] A Agência organizar-se-á nos termos da Lei nº 9.472, de 1997, e deste Regulamento, bem como das normas que editar, inclusive de seu Regimento Interno.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art2_cpt
"CPT","decreto_2338_1997.anexo1, Art. 3º, caput",20,29,"[ DA ORGANIZAÇÃO | Da Instalação | ] O patrimônio da Agência é constituído: pelo acervo técnico e patrimonial do Ministério das Comunicações correspondente às atividades a ela transferidas, o qual será inventariado por Comissão nomeada pelo Ministro de Estado das Comunicações e entregue no prazo máximo de 180 dias; pelos bens móveis ou imóveis que vierem a ser adquiridos, inclusive com recursos do Fundo de Fiscalização das Telecomunicações - FISTEL; pelos bens que reverterem ao poder concedente em decorrência das outorgas de serviços de telecomunicações; por outros bens e recursos que lhe vierem a ser destinados por entidades públicas ou privadas, nacionais ou estrangeiras.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art3_cpt
"CPT","decreto_2338_1997.anexo1, Art. 4º, caput",34,39,"[ DA ORGANIZAÇÃO | Da Gestão Financeira | ] Constituem receitas da Agência: as dotações orçamentárias e os créditos adicionais que lhe venham a ser consignados; os recursos do FISTEL, o qual passa à sua administração exclusiva, com os saldos nele existentes, exceto os que estejam provisionados ou bloqueados para crédito, incluídas as receitas que sejam produto da cobrança pelo direito de exploração dos serviços de telecomunicações e pelo uso de radiofreqüencias.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art4_cpt
"CPT","decreto_2338_1997.anexo1, Art. 5º, caput",42,43,"[ DA ORGANIZAÇÃO | Da Gestão Financeira | ] As propostas de orçamento encaminhadas pela Agência ao Ministério das Comunicações serão acompanhadas de um quadro demonstrativo do planejamento plurianual das receitas e despesas, visando ao seu equilíbrio orçamentário e financeiro nos cinco exercícios subseqüentes.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art5_cpt
"PAR","decreto_2338_1997.anexo1, Art. 5º, § 1º",44,45,"[ DA ORGANIZAÇÃO | Da Gestão Financeira | ] O planejamento plurianual preverá o montante a ser transferido ao fundo de universalização a que se refere o inciso II do artigo 81 da Lei nº 9.472, de 1997, e os saldos a serem transferidos ao Tesouro Nacional.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art5_par1
"PAR","decreto_2338_1997.anexo1, Art. 5º, § 2º",46,47,"[ DA ORGANIZAÇÃO | Da Gestão Financeira | ] A Lei Orçamentária Anual consignará as dotações para as despesas correntes e de capital da Agência, bem como o valor das transferências de recursos do FISTEL ao Tesouro Nacional e ao fundo de universalização, relativas ao exercício a que ele se referir, as quais serão formalmente feitas ao final de cada mês.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art5_par2
"PAR","decreto_2338_1997.anexo1, Art. 5º, § 3º",48,49,"[ DA ORGANIZAÇÃO | Da Gestão Financeira | ] A fixação das dotações orçamentárias da Agência na Lei Orçamentária Anual e sua programação orçamentária e financeira de execução não sofrerão limites nos seus valores para movimento e empenho.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art5_par3
"CPT","decreto_2338_1997.anexo1, Art. 6º, caput",52,53,"[ DA ORGANIZAÇÃO | Da Gestão Financeira | ] A prestação de contas anual da administração da Agência, depois de aprovada pelo Conselho Diretor, será submetida ao Ministro de Estado das Comunicações, para remessa ao Tribunal de Contas da União - TCU, observados os prazos previstos em legislação específica.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art6_cpt
"CPT","decreto_2338_1997.anexo1, Art. 7º, caput",58,59,"[ DA ORGANIZAÇÃO | Dos Agentes | ] A Agência executará suas atividades diretamente, por seus servidores próprios ou requisitados, ou indiretamente, por intermédio da contratação de prestadores de serviço.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art7_cpt
"CPT","decreto_2338_1997.anexo1, Art. 8º, caput",62,63,"[ DA ORGANIZAÇÃO | Dos Agentes | ] A Agência poderá requisitar, com ônus, servidores de órgãos e entidades integrantes da Administração Pública Federal direta, indireta ou fundacional, quaisquer que sejam as funções a serem exercidas.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art8_cpt
"PAR","decreto_2338_1997.anexo1, Art. 8º, § 1º",64,65,"[ DA ORGANIZAÇÃO | Dos Agentes | ] Durante os primeiros vinte e quatro meses subseqüentes à instalação da Agência, as requisições de que trata o caput deste artigo serão irrecusáveis quando feitas a órgãos e entidades do Poder Executivo, e desde que aprovadas pelo Ministro de Estado das Comunicações e pelo Ministro de Estado Chefe da Casa Civil.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art8_par1
"PAR","decreto_2338_1997.anexo1, Art. 8º, § 2º",66,67,"[ DA ORGANIZAÇÃO | Dos Agentes | ] Quando a requisição implicar redução de remuneração do servidor requisitado, fica a Agência autorizada a, na forma em que dispuser, complementá-la até o limite da remuneração percebida no órgão de origem.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art8_par2
"CPT","decreto_2338_1997.anexo1, Art. 9º, caput",70,71,"[ DA ORGANIZAÇÃO | Dos Agentes | ] A estrutura do quadro de cargos e funções da Agência é composta, nos termos do Anexo II, dos Cargos em Comissão de Natureza Especial e do Grupo-Direção e Assessoramento Superiores - DAS e das Funções Comissionadas de Telecomunicações - FCT, criados pelos arts. 12 e 13 da Lei nº 9.472, de 1997, bem assim dos cargos remenejados na forma do Decreto que aprova este Regulamento.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art9_cpt
"PAR","decreto_2338_1997.anexo1, Art. 9º, Parágrafo único.",72,73,"[ DA ORGANIZAÇÃO | Dos Agentes | ] Poderão ser incluídos, no quadro da Agência, cargos remanejados da estrutura do Ministério das Comunicações, com base na autorização do art. 11, parte final, da Lei nº 9.472, de 1997, e na forma do art. 37 da lei nº 8.112, de 11 de dezembro de 1990, conforme decreto específico.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art9_par1u
"CPT","decreto_2338_1997.anexo1, Art. 10., caput",76,85,"[ DA ORGANIZAÇÃO | Dos Agentes | ] Aos servidores encarregados das atividades de assessoramento e coordenação técnica poderão ser atribuídas as Funções Comissionadas de Telecomunicação - FCT, observadas as seguintes condições: a FCT é privativa de servidores do quadro efetivo, servidores públicos federais ou empregados de empresas públicas ou sociedades de economia mista controladas pela União em exercício na Agência; a FCT é inacumulável com qualquer outra forma de comissionamento; a vantagem pecuniária decorrente da FCT será percebida conjuntamente com a remuneração do cargo ou emprego permanente do servidor; ressalvados os casos dos incisos I, IV, VI, VIII, alíneas a a e, e inciso X do art. 102 da Lei nº 8.112, de 1990, em todos os demais o afastamento do servidor, mesmo quando legalmente definido como efetivo exercício, implicará cessação do pagamento da vantagem pecuniária decorrente da FCT.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art10_cpt
"CPT","decreto_2338_1997.anexo1, Art. 11., caput",88,89,"[ DA ORGANIZAÇÃO | Dos Agentes | ] A nomeação, exoneração e demissão de servidores da Agência observarão os procedimentos e condições estabelecidos na Lei nº 8.112, de 1990, e suas alterações.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art11_cpt
"CPT","decreto_2338_1997.anexo1, Art. 12., caput",92,93,"[ DA ORGANIZAÇÃO | Dos Agentes | ] Após a nomeação, o desempenho do servidor, para fins de permanência no cargo, deverá ser acompanhado permanentemente pelos superiores hierárquicos e pela Corregedoria, cabendo a esta última realizar, de modo célere e nos termos da Lei nº 9.472, de 1997, os procedimentos necessários à confirmação, à demissão ou à exoneração, conforme o caso.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art12_cpt
"CPT","decreto_2338_1997.anexo1, Art. 13., caput",96,97,"[ DA ORGANIZAÇÃO | Dos Agentes | ] Para atender a necessidade temporária de excepcional interesse público, a Agência poderá contratar, por prazo determinado, o pessoal técnico e burocrático imprescindível às suas atividades, nos termos da Lei nº 8.745, de 9 de dezembro de 1993, e suas alterações, cabendo ao Conselho Diretor autorizar a contratação.",urn:lex:br:federal:decreto:1997-10-07;2338!anexo1!art13_cpt
