Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_2615_1998.anexo1, Art. 1º, caput",3,4,"[ DAS GENERALIDADES | ] Este Regulamento dispõe sobre o Serviço de Radiodifusão Comunitária - RadCom, instituído pela Lei n° 9.612, de 19 de fevereiro de 1998, como um Serviço de Radiodifusão Sonora, com baixa potência e com cobertura restrita, para ser executado por fundações e associações comunitárias, sem fins lucrativos, com sede na localidade de prestação do Serviço.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art1_cpt
"CPT","decreto_2615_1998.anexo1, Art. 2º, caput",7,8,"[ DAS GENERALIDADES | ] As condições para execução do RadCom subordinam-se ao disposto no art. 223 da Constituição Federal, à Lei n° 9.612, de 1998 e , no que couber, á Lei n° 4.117, de 27 de agosto de 1962, modificada pelo Decreto-Lei n° 236, de 28 de fevereiro de 1967; e à regulamentação do Serviço de Radiodifusão Sonora, bem como a este Regulamento, às normas complementares, aos tratados, aos acordos e aos atos internacionais.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art2_cpt
"CPT","decreto_2615_1998.anexo1, Art. 3º, caput",11,22,"[ DAS GENERALIDADES | ] O RadCom tem por finalidade o atendimento de determinada comunidade, com vistas a: dar oportunidade á difusão de idéias, elementos de cultura, tradições e hábitos sociais da comunidade; oferecer mecanismos à formação e integração da comunidade, estimulando o lazer, a cultura e o convívio social; prestar serviços de utilidade pública, integrando-se aos serviços de defesa civil, sempre que necessário; contribuir para o aperfeiçoamento profissional nas áreas de atuação dos jornalistas e radialistas, de conformidade com a legislação profissional vigente; permitir a capacitação dos cidadãos no exercício do direito de expressão, da forma mais acessível possível.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art3_cpt
"CPT","decreto_2615_1998.anexo1, Art. 4º, caput",25,26,"[ DAS GENERALIDADES | ] A agência Nacional de Telecomunicações - ANATEL designará um único e específico canal na faixa de freqüências do Serviço de Radiodifusão Sonora em Freqüência Modulada, para atender, em âmbito nacional, ao Serviço de que trata este Regulamento.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art4_cpt
"PAR","decreto_2615_1998.anexo1, Art. 4º, Parágrafo único.",27,28,"[ DAS GENERALIDADES | ] Em caso de manifesta impossibilidade técnica quanto ao uso desse canal em determinada região, a ANATEL indicará, em substituição, canal alternativo, para utilização exclusiva naquela região, desde que haja algum que atenda aos critérios de proteção dos canais previstos nos Planos Básicos de Distribuição de Canais de Radiodifusão Sonora em Freqüência Modulada, de Televisão em VHF e de Retransmissão de Televisão em VHF.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art4_par1u
"CPT","decreto_2615_1998.anexo1, Art. 5º, caput",31,32,"[ DAS GENERALIDADES | ] A potência efetiva irradiada por emissora do RadCom será igual ou inferior a vinte e cinco watts.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art5_cpt
"CPT","decreto_2615_1998.anexo1, Art. 6º, caput",35,36,"[ DAS GENERALIDADES | ] A cobertura restrita de uma emissora do RadCom é a área limitada por um raio igual ou inferior a mil metros a partir da antena transmissora, destinada ao atendimento de determinada comunidade de um bairro, uma vila ou uma localidade de pequeno porte.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art6_cpt
"CPT","decreto_2615_1998.anexo1, Art. 7º, caput",39,40,"[ DAS GENERALIDADES | ] O Ministério das Comunicações estabelecerá, no comunicado de habilitação de que trata o § 1° do art.9° da Lei n° 9.612, de 1998, o valor da taxa relativa ao cadastramento da emissora, bem como as condições de seu pagamento.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art7_cpt
"CPT","decreto_2615_1998.anexo1, Art. 9º, caput",45,54,"[ DAS DEFINIÇÕES | ] Compete ao Ministério das Comunicações: Licença para Funcionamento de Estação: é o documento que habilita a estação a funcionar em caráter definitivo, e que explicita a condição de não possuir a emissora direito à proteção contra interferências causadas por estações de telecomunicações e de radiodifusão regularmente instaladas; Localidade de pequeno porte: é toda cidade ou povoado cuja área urbana possa estar contida nos limites de uma área de cobertura restrita; Interferência indesejável: é a interferência que prejudica, de modo levemente perceptível, o serviço prestado por uma estação de telecomunicações ou de radiodifusão regularmente instalada; Interferência prejudicial: é a interferência que, repetida ou continuamente, prejudica ou interrompe o serviço prestado por uma estação de telecomunicações ou de radiodifusão regularmente instalada.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art9_cpt
"CPT","decreto_2615_1998.anexo1, Art. 9º, caput",59,66,"[ DA COMPETÊNCIA | ] Compete ao Ministério das Comunicações: estabelecer as normas complementares do RadCom, indicando os parâmetros técnicos de funcionamento das estações, bem como detalhando os procedimentos para expedição de autorização e licenciamento; expedir ato de autorização para a execução do Serviço, observados os procedimentos estabelecidos na Lei n° 9.612, de 1998 e em norma complementar; fiscalizar a execução do RadCom, em todo o território nacional, no que disser respeito ao conteúdo da programação, nos termos da legislação pertinente.",urn:lex:br:federal:decreto:1998-06-03;2615!anexo1!art9_cpt
