Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_7724_2012, Art. 1º, caput",3,4,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DISPOSIÇÕES GERAIS | ] Este Decreto regulamenta, no âmbito do Poder Executivo federal, os procedimentos para a garantia do acesso à informação e para a classificação de informações sob restrição de acesso, observados grau e prazo de sigilo, conforme o disposto na Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição.",urn:lex:br:federal:decreto:2012-05-16;7724!art1_cpt
"CPT","decreto_7724_2012, Art. 2º, caput",7,8,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DISPOSIÇÕES GERAIS | ] Os órgãos e as entidades do Poder Executivo federal assegurarão, às pessoas naturais e jurídicas, o direito de acesso à informação, que será proporcionado mediante procedimentos objetivos e ágeis, de forma transparente, clara e em linguagem de fácil compreensão, observados os princípios da administração pública e as diretrizes previstas na Lei nº 12.527, de 2011.",urn:lex:br:federal:decreto:2012-05-16;7724!art2_cpt
"CPT","decreto_7724_2012, Art. 3º, caput",11,36,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DISPOSIÇÕES GERAIS | ] Para os efeitos deste Decreto, considera-se: informação - dados, processados ou não, que podem ser utilizados para produção e transmissão de conhecimento, contidos em qualquer meio, suporte ou formato; dados processados - dados submetidos a qualquer operação ou tratamento por meio de processamento eletrônico ou por meio automatizado com o emprego de tecnologia da informação; documento - unidade de registro de informações, qualquer que seja o suporte ou formato; informação sigilosa - informação submetida temporariamente à restrição de acesso público em razão de sua imprescindibilidade para a segurança da sociedade e do Estado, e aquelas abrangidas pelas demais hipóteses legais de sigilo; informação pessoal - informação relacionada à pessoa natural identificada ou identificável, relativa à intimidade, vida privada, honra e imagem; tratamento da informação - conjunto de ações referentes à produção, recepção, classificação, utilização, acesso, reprodução, transporte, transmissão, distribuição, arquivamento, armazenamento, eliminação, avaliação, destinação ou controle da informação; disponibilidade - qualidade da informação que pode ser conhecida e utilizada por indivíduos, equipamentos ou sistemas autorizados; autenticidade - qualidade da informação que tenha sido produzida, expedida, recebida ou modificada por determinado indivíduo, equipamento ou sistema; integridade - qualidade da informação não modificada, inclusive quanto à origem, trânsito e destino; primariedade - qualidade da informação coletada na fonte, com o máximo de detalhamento possível, sem modificações; informação atualizada - informação que reúne os dados mais recentes sobre o tema, de acordo com sua natureza, com os prazos previstos em normas específicas ou conforme a periodicidade estabelecida nos sistemas informatizados que a organizam; e documento preparatório - documento formal utilizado como fundamento da tomada de decisão ou de ato administrativo, a exemplo de pareceres e notas técnicas.",urn:lex:br:federal:decreto:2012-05-16;7724!art3_cpt
"CPT","decreto_7724_2012, Art. 4º, caput",39,40,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DISPOSIÇÕES GERAIS | ] A busca e o fornecimento da informação são gratuitos, ressalvada a cobrança do valor referente ao custo dos serviços e dos materiais utilizados, tais como reprodução de documentos, mídias digitais e postagem.",urn:lex:br:federal:decreto:2012-05-16;7724!art4_cpt
"PAR","decreto_7724_2012, Art. 4º, Parágrafo único.",41,42,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DISPOSIÇÕES GERAIS | ] Está isento de ressarcir os custos dos serviços e dos materiais utilizados aquele cuja situação econômica não lhe permita fazê-lo sem prejuízo do sustento próprio ou da família, declarada nos termos da Lei nº 7.115, de 29 de agosto de 1983.",urn:lex:br:federal:decreto:2012-05-16;7724!art4_par1u
"CPT","decreto_7724_2012, Art. 5º, caput",47,48,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA ABRANGÊNCIA | ] Sujeitam-se ao disposto neste Decreto os órgãos da administração direta, as autarquias, as fundações públicas, as empresas públicas, as sociedades de economia mista e as demais entidades controladas direta ou indiretamente pela União.",urn:lex:br:federal:decreto:2012-05-16;7724!art5_cpt
"PAR","decreto_7724_2012, Art. 5º, § 1º",49,50,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA ABRANGÊNCIA | ] A divulgação de informações de empresas públicas, sociedade de economia mista e demais entidades controladas pela União que atuem em regime de concorrência, sujeitas ao disposto no art. 173 da Constituição, estará submetida às normas pertinentes da Comissão de Valores Mobiliários, a fim de assegurar sua competitividade, governança corporativa e, quando houver, os interesses de acionistas minoritários.",urn:lex:br:federal:decreto:2012-05-16;7724!art5_par1
"PAR","decreto_7724_2012, Art. 5º, § 2º",51,52,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA ABRANGÊNCIA | ] Não se sujeitam ao disposto neste Decreto as informações relativas à atividade empresarial de pessoas físicas ou jurídicas de direito privado obtidas pelo Banco Central do Brasil, pelas agências reguladoras ou por outros órgãos ou entidades no exercício de atividade de controle, regulação e supervisão da atividade econômica cuja divulgação possa representar vantagem competitiva a outros agentes econômicos.",urn:lex:br:federal:decreto:2012-05-16;7724!art5_par2
"CPT","decreto_7724_2012, Art. 6º, caput",55,60,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA ABRANGÊNCIA | ] O acesso à informação disciplinado neste Decreto não se aplica: às hipóteses de sigilo previstas na legislação, como fiscal, bancário, de operações e serviços no mercado de capitais, comercial, profissional, industrial e segredo de justiça; e às informações referentes a projetos de pesquisa e desenvolvimento científicos ou tecnológicos cujo sigilo seja imprescindível à segurança da sociedade e do Estado, na forma do §1º do art. 7º da Lei nº 12.527, de 2011.",urn:lex:br:federal:decreto:2012-05-16;7724!art6_cpt
"CPT","decreto_7724_2012, Art. 7º, caput",65,66,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA TRANSPARÊNCIA ATIVA | ] É dever dos órgãos e entidades promover, independente de requerimento, a divulgação em seus sítios na Internet de informações de interesse coletivo ou geral por eles produzidas ou custodiadas, observado o disposto nos arts. 7º e 8º da Lei nº 12.527, de 2011.",urn:lex:br:federal:decreto:2012-05-16;7724!art7_cpt
"PAR","decreto_7724_2012, Art. 7º, § 1º",67,68,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA TRANSPARÊNCIA ATIVA | ] Os órgãos e entidades deverão implementar em seus sítios na Internet seção específica para a divulgação das informações de que trata o caput.",urn:lex:br:federal:decreto:2012-05-16;7724!art7_par1
"PAR","decreto_7724_2012, Art. 7º, § 2º",69,74,"[ Vigência Regulamenta a Lei nº 12.527, de 18 de novembro de 2011, que dispõe sobre o acesso a informações previsto no inciso XXXIII do caput do art. 5º , no inciso II do § 3º do art. 37 e no § 2º do art. 216 da Constituição. | DA TRANSPARÊNCIA ATIVA | ] Serão disponibilizados nos sítios na Internet dos órgãos e entidades, conforme padrão estabelecido pela Secretaria de Comunicação Social da Presidência da República: banner na página inicial, que dará acesso à seção específica de que trata o § 1º ; e barra de identidade do Governo federal, contendo ferramenta de redirecionamento de página para o Portal Brasil e para o sítio principal sobre a Lei nº 12.527, de 2011.",urn:lex:br:federal:decreto:2012-05-16;7724!art7_par2
