Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","decreto_lei_2848_19401207, Art. 1º, caput",4,5,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Não há crime sem lei anterior que o defina. Não há pena sem prévia cominação legal. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art1_cpt
"CPT","decreto_lei_2848_19401207, Art. 2º, caput",8,9,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Ninguém pode ser punido por fato que lei posterior deixa de considerar crime, cessando em virtude dela a execução e os efeitos penais da sentença condenatória.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art2_cpt
"PAR","decreto_lei_2848_19401207, Art. 2º, Parágrafo único.",10,11,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A lei posterior, que de qualquer modo favorecer o agente, aplica-se aos fatos anteriores, ainda que decididos por sentença condenatória transitada em julgado. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art2_par1u
"CPT","decreto_lei_2848_19401207, Art. 3º, caput",14,15,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A lei excepcional ou temporária, embora decorrido o período de sua duração ou cessadas as circunstâncias que a determinaram, aplica-se ao fato praticado durante sua vigência. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art3_cpt
"CPT","decreto_lei_2848_19401207, Art. 4º, caput",18,19,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Considera-se praticado o crime no momento da ação ou omissão, ainda que outro seja o momento do resultado. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art4_cpt
"CPT","decreto_lei_2848_19401207, Art. 5º, caput",22,23,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Aplica-se a lei brasileira, sem prejuízo de convenções, tratados e regras de direito internacional, ao crime cometido no território nacional.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5_cpt
"PAR","decreto_lei_2848_19401207, Art. 5º, § 1º",24,25,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Para os efeitos penais, consideram-se como extensão do território nacional as embarcações e aeronaves brasileiras, de natureza pública ou a serviço do governo brasileiro, onde quer que se encontrem, bem como as aeronaves e as embarcações brasileiras, mercantes ou de propriedade privada, que se achem, respectivamente, no espaço aéreo correspondente ou em alto-mar.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5_par1
"PAR","decreto_lei_2848_19401207, Art. 5º, § 2º",26,27,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] É também aplicável a lei brasileira aos crimes praticados a bordo de aeronaves ou embarcações estrangeiras de propriedade privada, achando-se aquelas em pouso no território nacional ou em vôo no espaço aéreo correspondente, e estas em porto ou mar territorial do Brasil. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art5_par2
"CPT","decreto_lei_2848_19401207, Art. 6º, caput",30,31,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Considera-se praticado o crime no lugar em que ocorreu a ação ou omissão, no todo ou em parte, bem como onde se produziu ou deveria produzir-se o resultado. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art6_cpt
"CPT","decreto_lei_2848_19401207, Art. 7º, caput",34,53,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Ficam sujeitos à lei brasileira, embora cometidos no estrangeiro: os crimes: contra a vida ou a liberdade do Presidente da República; contra o patrimônio ou a fé pública da União, do Distrito Federal, de Estado, de Território, de Município, de empresa pública, sociedade de economia mista, autarquia ou fundação instituída pelo Poder Público; contra a administração pública, por quem está a seu serviço; de genocídio, quando o agente for brasileiro ou domiciliado no Brasil; os crimes: que, por tratado ou convenção, o Brasil se obrigou a reprimir; praticados por brasileiro; praticados em aeronaves ou embarcações brasileiras, mercantes ou de propriedade privada, quando em território estrangeiro e aí não sejam julgados.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_cpt
"PAR","decreto_lei_2848_19401207, Art. 7º, § 1º",54,55,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Nos casos do inciso I, o agente é punido segundo a lei brasileira, ainda que absolvido ou condenado no estrangeiro.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_par1
"PAR","decreto_lei_2848_19401207, Art. 7º, § 2º",56,67,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] Nos casos do inciso II, a aplicação da lei brasileira depende do concurso das seguintes condições: entrar o agente no território nacional; ser o fato punível também no país em que foi praticado; estar o crime incluído entre aqueles pelos quais a lei brasileira autoriza a extradição; não ter sido o agente absolvido no estrangeiro ou não ter aí cumprido a pena; não ter sido o agente perdoado no estrangeiro ou, por outro motivo, não estar extinta a punibilidade, segundo a lei mais favorável.",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_par2
"PAR","decreto_lei_2848_19401207, Art. 7º, § 3º",68,73,"[ Código Penal. | (Parte Geral com redação dada pela Lei nº 7.209, de 11.7.1984,publicada no DOU de 13.7.1984, em vigor 6 meses após a publicação) | DA APLICAÇÃO DA LEI PENAL Anterioridade da lei | ] A lei brasileira aplica-se também ao crime cometido por estrangeiro contra brasileiro fora do Brasil, se, reunidas as condições previstas no parágrafo anterior: não foi pedida ou foi negada a extradição; houve requisição do Ministro da Justiça. (Artigo com redação dada pela Lei nº 7.209, de 11.7.1984)",urn:lex:br:federal:decreto.lei:1940-12-07;2848!art7_par3
