Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_11652_20080407, Art. 1º, caput",2,3,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Os serviços de radiodifusão pública explorados pelo Poder Executivo ou mediante outorga a entidades de sua administração indireta, no âmbito federal, serão prestados conforme as disposições desta Lei.",urn:lex:br:federal:lei:2008-04-07;11652!art1_cpt
"CPT","lei_11652_20080407, Art. 2º, caput",6,29,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A prestação dos serviços de radiodifusão pública por órgãos do Poder Executivo ou mediante outorga a entidades de sua administração indireta deverá observar os seguintes princípios: complementaridade entre os sistemas privado, público e estatal; promoção do acesso à informação por meio da pluralidade de fontes de produção e distribuição do conteúdo; produção e programação com finalidades educativas, artísticas, culturais, científicas e informativas; promoção da cultura nacional, estímulo à produção regional e à produção independente; respeito aos valores éticos e sociais da pessoa e da família; não discriminação religiosa, político partidária, filosófica, étnica, de gênero ou de opção sexual; observância de preceitos éticos no exercício das atividades de radiodifusão; autonomia em relação ao Governo Federal para definir produção, programação e distribuição de conteúdo no sistema público de radiodifusão; participação da sociedade civil no controle da aplicação dos princípios do sistema público de radiodifusão, respeitando-se a pluralidade da sociedade brasileira; atualização e modernização tecnológica dos equipamentos de produção e transmissão; (Inciso acrescido pela Lei nº 13.417, de 1.3.2017) formação e capacitação continuadas de mão de obra, de forma a garantir a excelência na produção da programação veiculada. (Inciso acrescido pela Lei nº 13.417, de 1.3.2017)",urn:lex:br:federal:lei:2008-04-07;11652!art2_cpt
"CPT","lei_11652_20080407, Art. 3º, caput",32,51,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Constituem objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou mediante outorga a entidades de sua administração indireta: oferecer mecanismos para debate público acerca de temas de relevância nacional e internacional; desenvolver a consciência crítica do cidadão, mediante programação educativa, artística, cultural, informativa, científica e promotora de cidadania; fomentar a construção da cidadania, a consolidação da democracia e a participação na sociedade, garantindo o direito à informação, à livre expressão do pensamento, à criação e à comunicação; cooperar com os processos educacionais e de formação do cidadão; apoiar processos de inclusão social e socialização da produção de conhecimento garantindo espaços para exibição de produções regionais e independentes; buscar excelência em conteúdos e linguagens e desenvolver formatos criativos e inovadores, constituindo-se em centro de inovação e formação de talentos; direcionar sua produção e programação pelas finalidades educativas, artísticas, culturais, informativas, científicas e promotoras da cidadania, sem com isso retirar seu caráter competitivo na busca do interesse do maior número de ouvintes ou telespectadores; promover parcerias e fomentar produção audiovisual nacional, contribuindo para a expansão de sua produção e difusão; e estimular a produção e garantir a veiculação, inclusive na rede mundial de computadores, de conteúdos interativos, especialmente aqueles voltados para a universalização da prestação de serviços públicos.",urn:lex:br:federal:lei:2008-04-07;11652!art3_cpt
"PAR","lei_11652_20080407, Art. 3º, § 1º",52,53,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] É vedada qualquer forma de proselitismo na programação das emissoras públicas de radiodifusão. (Parágrafo único transformado em § 1º, com redação dada pela Lei nº 13.417, de 1.3.2017)",urn:lex:br:federal:lei:2008-04-07;11652!art3_par1
"PAR","lei_11652_20080407, Art. 3º, § 2º",54,55,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Os serviços de radiodifusão pública explorados pelo Poder Executivo ou mediante outorga a entidades de sua administração indireta veicularão informações constantes da base de dados do Cadastro Nacional de Crianças e Adolescentes Desaparecidos de que trata a Lei nº 12.127, de 17 de dezembro de 2009, incluindo fotografias de pessoas desaparecidas, diariamente, por no mínimo um minuto, no período compreendido entre dezoito e vinte e duas horas. (Parágrafo acrescido pela Lei nº 13.417, de 1.3.2017)",urn:lex:br:federal:lei:2008-04-07;11652!art3_par2
"CPT","lei_11652_20080407, Art. 4º, caput",58,59,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Os serviços de radiodifusão pública outorgados a entidades da administração indireta do Poder Executivo serão prestados pela empresa pública de que trata o art. 5º desta Lei e poderão ser difundidos e reproduzidos por suas afiliadas, associadas, repetidoras e retransmissoras do sistema público de radiodifusão e outras entidades públicas ou privadas parceiras, na forma do inciso III do caput do art. 8º desta Lei.",urn:lex:br:federal:lei:2008-04-07;11652!art4_cpt
"CPT","lei_11652_20080407, Art. 5º, caput",62,63,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Fica o Poder Executivo autorizado a criar a empresa pública denominada Empresa Brasil de Comunicação S.A. - EBC, vinculada à Casa Civil da Presidência da República. (Artigo com redação dada pela Lei nº 13.417, de 1.3.2017)",urn:lex:br:federal:lei:2008-04-07;11652!art5_cpt
"CPT","lei_11652_20080407, Art. 6º, caput",66,67,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A EBC tem por finalidade a prestação de serviços de radiodifusão pública e serviços conexos, observados os princípios e objetivos estabelecidos nesta Lei.",urn:lex:br:federal:lei:2008-04-07;11652!art6_cpt
"PAR","lei_11652_20080407, Art. 6º, Parágrafo único.",68,69,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A EBC, com prazo de duração indeterminado, terá sede e foro em Brasília, Distrito Federal, mantendo como principal centro de produção o localizado na cidade do Rio de Janeiro, Estado do Rio de Janeiro, podendo instalar escritórios, dependências, unidades de produção e radiodifusão em qualquer local, dando continuidade obrigatoriamente àquelas já existentes no Distrito Federal, Rio de Janeiro e Maranhão.",urn:lex:br:federal:lei:2008-04-07;11652!art6_par1u
"CPT","lei_11652_20080407, Art. 7º, caput",72,73,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A União integralizará o capital social da EBC e promoverá a constituição inicial de seu patrimônio por meio de capitalização e da incorporação de bens móveis ou imóveis.",urn:lex:br:federal:lei:2008-04-07;11652!art7_cpt
"CPT","lei_11652_20080407, Art. 8º, caput",76,95,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Compete à EBC: implantar e operar as emissoras e explorar os serviços de radiodifusão pública sonora e de sons e imagens do Governo Federal; implantar e operar as suas próprias redes de Repetição e Retransmissão de Radiodifusão, explorando os respectivos serviços; estabelecer cooperação e colaboração com entidades públicas ou privadas que explorem serviços de comunicação ou radiodifusão pública, mediante convênios ou outros ajustes, com vistas na formação da Rede Nacional de Comunicação Pública; produzir e difundir programação informativa, educativa, artística, cultural, científica, de cidadania e de recreação; promover e estimular a formação e o treinamento de pessoal especializado, necessário às atividades de radiodifusão, comunicação e serviços conexos; prestar serviços no campo de radiodifusão, comunicação e serviços conexos, inclusive para transmissão de atos e matérias do Governo Federal; distribuir a publicidade legal dos órgãos e entidades da administração federal, à exceção daquela veiculada pelos órgãos oficiais da União; (Revogado pela Medida Provisória nº 744, de 1.9.2016, convertida na Lei nº 13.417, de 1.3.2017) garantir os mínimos de 10% (dez por cento) de conteúdo regional e de 5% (cinco por cento) de conteúdo independente em sua programação semanal, em programas a serem veiculados no horário compreendido entre 6 (seis) e 24 (vinte e quatro) horas.",urn:lex:br:federal:lei:2008-04-07;11652!art8_cpt
"PAR","lei_11652_20080407, Art. 8º, § 1º",96,97,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Para fins do disposto no inciso VII do caput deste artigo, entende-se como publicidade legal a publicação de avisos, balanços, relatórios e outros a que os órgãos e entidades da administração pública federal estejam obrigados por força de lei ou regulamento.",urn:lex:br:federal:lei:2008-04-07;11652!art8_par1
"PAR","lei_11652_20080407, Art. 8º, § 2º",98,103,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] É dispensada a licitação para a: celebração dos ajustes com vistas na formação da Rede Nacional de Comunicação Pública mencionados no inciso III do caput deste artigo, que poderão ser firmados, em igualdade de condições, com entidades públicas ou privadas que explorem serviços de comunicação ou radiodifusão, por até 10 (dez) anos, renováveis por iguais períodos; contratação da EBC por órgãos e entidades da administração pública, com vistas na realização de atividades relacionadas ao seu objeto, desde que o preço contratado seja compatível com o de mercado.",urn:lex:br:federal:lei:2008-04-07;11652!art8_par2
"PAR","lei_11652_20080407, Art. 8º, § 3º",104,105,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Para compor a Rede Nacional de Comunicação Pública, nos termos do disposto no inciso III do caput deste artigo, a programação das entidades públicas e privadas deverá obedecer aos princípios estabelecidos por esta Lei.",urn:lex:br:federal:lei:2008-04-07;11652!art8_par3
"PAR","lei_11652_20080407, Art. 8º, § 4º",106,111,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Para os fins do disposto no inciso IX do caput deste artigo, entende-se: conteúdo regional: conteúdo produzido num determinado Estado, com equipe técnica e artística composta majoritariamente por residentes locais; conteúdo independente: conteúdo cuja empresa produtora, detentora majoritária dos direitos patrimoniais sobre a obra, não tenha qualquer associação ou vínculo, direto ou indireto, com empresas de serviço de radiodifusão de sons e imagens ou prestadoras de serviço de veiculação de conteúdo eletrônico.",urn:lex:br:federal:lei:2008-04-07;11652!art8_par4
"PAR","lei_11652_20080407, Art. 8º, § 5º",112,113,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Para o cumprimento do percentual relativo a conteúdo regional, de que trata o inciso IX do caput deste artigo, deverão ser veiculados, na mesma proporção, programas produzidos em todas as regiões do País.",urn:lex:br:federal:lei:2008-04-07;11652!art8_par5
"CPT","lei_11652_20080407, Art. 9º, caput",116,117,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A EBC será organizada sob a forma de sociedade anônima de capital fechado e terá seu capital representado por ações ordinárias nominativas, das quais pelo menos 51% (cinqüenta e um por cento) serão de titularidade da União.",urn:lex:br:federal:lei:2008-04-07;11652!art9_cpt
"PAR","lei_11652_20080407, Art. 9º, § 1º",118,119,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A integralização do capital da EBC será realizada com recursos oriundos de dotações consignadas no orçamento da União, destinadas ao suporte e operação dos serviços de radiodifusão pública, mediante a incorporação do patrimônio da RADIOBRÁS - Empresa Brasileira de Comunicação S.A., criada pela Lei nº 6.301, de 15 de dezembro de 1975, e da incorporação de bens móveis e imóveis decorrentes do disposto no art. 26 desta Lei.",urn:lex:br:federal:lei:2008-04-07;11652!art9_par1
"PAR","lei_11652_20080407, Art. 9º, § 2º",120,121,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] Será admitida no restante do capital da EBC a participação de entidades da administração indireta federal, bem como de Estados, do Distrito Federal e de Municípios ou de entidades de sua administração indireta.",urn:lex:br:federal:lei:2008-04-07;11652!art9_par2
"PAR","lei_11652_20080407, Art. 9º, § 3º",122,123,"[ Institui os princípios e objetivos dos serviços de radiodifusão pública explorados pelo Poder Executivo ou outorgados a entidades de sua administração indireta; autoriza o Poder Executivo a constituir a Empresa Brasil de Comunicação - EBC; altera a Lei nº 5.070, de 7 de julho de 1966; e dá outras providências. | ] A participação de que trata o § 2º deste artigo poderá ser realizada mediante a transferência para o patrimônio da EBC de bens representativos dos acervos de estações de radiodifusão de sua propriedade ou de outros bens necessários e úteis ao seu funcionamento.",urn:lex:br:federal:lei:2008-04-07;11652!art9_par3
