Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_13188_20151111, Art. 1º, caput",2,3,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] Esta Lei disciplina o exercício do direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social.",urn:lex:br:federal:lei:2015-11-11;13188!art1_cpt
"CPT","lei_13188_20151111, Art. 2º, caput",6,7,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] Ao ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social é assegurado o direito de resposta ou retificação, gratuito e proporcional ao agravo.",urn:lex:br:federal:lei:2015-11-11;13188!art2_cpt
"PAR","lei_13188_20151111, Art. 2º, § 1º",8,9,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] Para os efeitos desta Lei, considera-se matéria qualquer reportagem, nota ou notícia divulgada por veículo de comunicação social, independentemente do meio ou da plataforma de distribuição, publicação ou transmissão que utilize, cujo conteúdo atente, ainda que por equívoco de informação, contra a honra, a intimidade, a reputação, o conceito, o nome, a marca ou a imagem de pessoa física ou jurídica identificada ou passível de identificação.",urn:lex:br:federal:lei:2015-11-11;13188!art2_par1
"PAR","lei_13188_20151111, Art. 2º, § 2º",10,11,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] São excluídos da definição de matéria estabelecida no § 1º deste artigo os comentários realizados por usuários da internet nas páginas eletrônicas dos veículos de comunicação social.",urn:lex:br:federal:lei:2015-11-11;13188!art2_par2
"PAR","lei_13188_20151111, Art. 2º, § 3º",12,13,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] A retratação ou retificação espontânea, ainda que a elas sejam conferidos os mesmos destaque, publicidade, periodicidade e dimensão do agravo, não impedem o exercício do direito de resposta pelo ofendido nem prejudicam a ação de reparação por dano moral.",urn:lex:br:federal:lei:2015-11-11;13188!art2_par3
"CPT","lei_13188_20151111, Art. 3º, caput",16,17,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] O direito de resposta ou retificação deve ser exercido no prazo decadencial de 60 (sessenta) dias, contado da data de cada divulgação, publicação ou transmissão da matéria ofensiva, mediante correspondência com aviso de recebimento encaminhada diretamente ao veículo de comunicação social ou, inexistindo pessoa jurídica constituída, a quem por ele responda, independentemente de quem seja o responsável intelectual pelo agravo.",urn:lex:br:federal:lei:2015-11-11;13188!art3_cpt
"PAR","lei_13188_20151111, Art. 3º, § 1º",18,19,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] O direito de resposta ou retificação poderá ser exercido, de forma individualizada, em face de todos os veículos de comunicação social que tenham divulgado, publicado, republicado, transmitido ou retransmitido o agravo original.",urn:lex:br:federal:lei:2015-11-11;13188!art3_par1
"PAR","lei_13188_20151111, Art. 3º, § 2º",20,25,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] O direito de resposta ou retificação poderá ser exercido, também, conforme o caso: pelo representante legal do ofendido incapaz ou da pessoa jurídica; pelo cônjuge, descendente, ascendente ou irmão do ofendido que esteja ausente do País ou tenha falecido depois do agravo, mas antes de decorrido o prazo de decadência do direito de resposta ou retificação.",urn:lex:br:federal:lei:2015-11-11;13188!art3_par2
"PAR","lei_13188_20151111, Art. 3º, § 3º",26,27,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] No caso de divulgação, publicação ou transmissão continuada e ininterrupta da mesma matéria ofensiva, o prazo será contado da data em que se iniciou o agravo.",urn:lex:br:federal:lei:2015-11-11;13188!art3_par3
"CPT","lei_13188_20151111, Art. 4º, caput",30,37,"[ Dispõe sobre o direito de resposta ou retificação do ofendido em matéria divulgada, publicada ou transmitida por veículo de comunicação social. | ] A resposta ou retificação atenderá, quanto à forma e à duração, ao seguinte: praticado o agravo em mídia escrita ou na internet, terá a resposta ou retificação o destaque, a publicidade, a periodicidade e a dimensão da matéria que a ensejou; praticado o agravo em mídia televisiva, terá a resposta ou retificação o destaque, a publicidade, a periodicidade e a duração da matéria que a ensejou; praticado o agravo em mídia radiofônica, terá a resposta ou retificação o destaque, a publicidade, a periodicidade e a duração da matéria que a ensejou.",urn:lex:br:federal:lei:2015-11-11;13188!art4_cpt
