Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_4117_19620827, Art. 1º, caput",3,4,"[ Institui o Código Brasileiro de Telecomunicações. | INTRODUÇÃO | ] Os serviços de telecomunicações em todo território do País, inclusive águas territoriais e espaço aéreo, assim como nos lugares em que princípios e convenções internacionais lhes reconheçam extraterritorialidade obedecerão aos preceitos da presente lei e aos regulamentos baixados para a sua execução.",urn:lex:br:federal:lei:1962-08-27;4117!art1_cpt
"CPT","lei_4117_19620827, Art. 2º, caput",7,8,"[ Institui o Código Brasileiro de Telecomunicações. | INTRODUÇÃO | ] Os atos internacionais de natureza normativa, qualquer que seja a denominação adotada serão considerados tratados ou convenções e só entrarão em vigor a partir de sua aprovação pelo Congresso Nacional.",urn:lex:br:federal:lei:1962-08-27;4117!art2_cpt
"PAR","lei_4117_19620827, Art. 2º, Parágrafo único.",9,10,"[ Institui o Código Brasileiro de Telecomunicações. | INTRODUÇÃO | ] O Poder Executivo enviará ao Congresso Nacional no prazo de 180 (cento e oitenta) dias, a contar da data da assinatura, os atos normativos sobre telecomunicações, anexando-lhes os respectivos regulamentos, devidamente traduzidos.",urn:lex:br:federal:lei:1962-08-27;4117!art2_par1u
"CPT","lei_4117_19620827, Art. 3º, caput",13,14,"[ Institui o Código Brasileiro de Telecomunicações. | INTRODUÇÃO | ] Os atos internacionais de natureza administrativa entrarão em vigor na data estabelecida em sua publicação depois de aprovados pelo Presidente da República (art. 29, a1). (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art3_cpt
"CPT","lei_4117_19620827, Art. 4º, caput",19,20,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Para os efeitos desta lei, constituem serviços de telecomunicações a transmissão, emissão ou recepção de símbolos, caracteres, sinais, escritos, imagens, sons ou informações de qualquer natureza, por fio, rádio, eletricidade, meios óticos ou qualquer outro processo eletromagnético. Telegrafia é o processo de telecomunicação destinado à transmissão de escritos, pelo uso de um código de sinais. Telefonia é o processo de telecomunicação destinado à transmissão da palavra falada ou de sons.",urn:lex:br:federal:lei:1962-08-27;4117!art4_cpt
"PAR","lei_4117_19620827, Art. 4º, § 1º",21,22,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Os termos não definidos nesta lei têm o significado estabelecido nos atos internacionais aprovados pelo Congresso Nacional.",urn:lex:br:federal:lei:1962-08-27;4117!art4_par1
"PAR","lei_4117_19620827, Art. 4º, § 2º",23,24,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Os contratos de concessão, as autorizações e permissões serão interpretados e executados de acordo com as definições vigentes na época em que os mesmos tenham sido celebrados ou expedidos. (Parágrafo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962)",urn:lex:br:federal:lei:1962-08-27;4117!art4_par2
"CPT","lei_4117_19620827, Art. 5º, caput",27,32,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Quanto ao seu âmbito, os serviços de telecomunicações se classificam em: serviço interior, estabelecido entre estações brasileiras, fixas ou móveis, dentro dos limites da jurisdição territorial da União; serviço internacional, estabelecido entre estações brasileiras, fixas ou móveis, e estações estrangeiras ou estações brasileiras móveis que se achem fora dos limites da jurisdição territorial da União.",urn:lex:br:federal:lei:1962-08-27;4117!art5_cpt
"CPT","lei_4117_19620827, Art. 6º, caput",35,68,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Quanto aos fins a que se destinam, as telecomunicações assim se classificam: serviço público, destinado ao uso do público em geral; serviço público restrito, facultado ao uso dos passageiros dos navios, aeronaves, veículos em movimento ou ao uso do público em localidade ainda não atendidas por serviço público de telecomunicação; serviço limitado, executado por estações não abertas à correspondência pública e destinada ao uso de pessoas físicas ou jurídicas nacionais. Constituem serviço limitado entre outros: o de segurança, regularidade, orientação e administração dos transportes em geral; o de múltiplos destinos; o serviço rural; o serviço privado; serviço de radiodifusão, destinado a ser recebido direta e livremente pelo público em geral, compreendendo radiodifusão sonora e televisão; serviço de rádio-amador, destinado a treinamento próprio, intercomunicação e investigações técnicas levadas a efeito por amadores, devidamente autorizados, interessados na radiotécnica unicamente a título pessoal a que não visem a qualquer objetivo pecuniário ou comercial; serviço especial, relativo a determinados serviços de interesse geral, não abertos à correspondência pública e não incluídos nas definições das alíneas anteriores entre os quais: o de sinais horários; o de freqüência padrão; o de boletins meteorológicos; o que se destine a fins científicos ou experimentais; o de música funcional; o de radiodeterminação.",urn:lex:br:federal:lei:1962-08-27;4117!art6_cpt
"CPT","lei_4117_19620827, Art. 7º, caput",71,72,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Os meios, através dos quais se executam os serviços de telecomunicações constituirão troncos e redes contínuos, que formarão o Sistema Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art7_cpt
"PAR","lei_4117_19620827, Art. 7º, § 1º",73,74,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] O Sistema Nacional de Telecomunicações será integrado por troncos e redes a eles ligados.",urn:lex:br:federal:lei:1962-08-27;4117!art7_par1
"PAR","lei_4117_19620827, Art. 7º, § 2º",75,76,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Objetivando a estruturação e o emprego do Sistema Nacional de Telecomunicações, o Governo estabelecerá as normas técnicas e as condições de tráfego mútuo a serem compulsoriamente observadas pelos executores dos serviços segundo o que for especificado nos Regulamentos.",urn:lex:br:federal:lei:1962-08-27;4117!art7_par2
"CPT","lei_4117_19620827, Art. 8º, caput",79,80,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Constituem troncos do Sistema Nacional de Telecomunicações os circuitos portadores comuns, que interligam os centros principais de telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art8_cpt
"PAR","lei_4117_19620827, Art. 8º, § 1º",81,82,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Circuitos portadores comuns são aqueles que realizam o transporte integrado de diversas modalidades de telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art8_par1
"PAR","lei_4117_19620827, Art. 8º, § 2º",83,84,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Centro principais de telecomunicações são aqueles nos quais se realiza a concentração e distribuição das diversas modalidades de telecomunicações destinadas ao transporte integrado.",urn:lex:br:federal:lei:1962-08-27;4117!art8_par2
"PAR","lei_4117_19620827, Art. 8º, § 3º",85,86,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Entendem-se por urbanas as redes telefônicas situadas dentro dos limites de um município ou do Distrito Federal e por interurbanas as intermunicipais dentro dos limites de um Estado ou Território.",urn:lex:br:federal:lei:1962-08-27;4117!art8_par3
"CPT","lei_4117_19620827, Art. 9º, caput",89,90,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] O Conselho Nacional de Telecomunicações ao planejar o Sistema Nacional de Telecomunicações, discriminará os troncos e os centro principais de telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art9_cpt
"PAR","lei_4117_19620827, Art. 9º, § 1º",91,92,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] Na discriminação a que se refere, este artigo serão incluídas, na medida das possibilidades e conveniências entre os centros principais de telecomunicação, a Capital da República e as capitais de todos os Estados e Territórios.",urn:lex:br:federal:lei:1962-08-27;4117!art9_par1
"PAR","lei_4117_19620827, Art. 9º, § 2º",93,94,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] O Conselho Nacional de Telecomunicações estabelecerá as prioridades, segundo as quais se procederá à instalação dos troncos e redes do Sistema Nacional de Telecomunicações. (Artigo vetado pelo Presidente da República e mantido pelo Congresso Nacional, em 17.12.1962).",urn:lex:br:federal:lei:1962-08-27;4117!art9_par2
"CPT","lei_4117_19620827, Art. 9º-A., caput",97,98,"[ Institui o Código Brasileiro de Telecomunicações. | DAS DEFINIÇÕES | ] (VETADO na Lei nº 15.182, de 30.7.2025)",urn:lex:br:federal:lei:1962-08-27;4117!art9-1_cpt
"CPT","lei_4117_19620827, Art. 10., caput",103,112,"[ Institui o Código Brasileiro de Telecomunicações. | DA COMPETÊNCIA DA UNIÃO | ] Compete privativamente à União: manter e explorar diretamente: os serviços dos troncos que integram o Sistema Nacional de Telecomunicações, inclusive suas conexões internacionais; (Expressão “dos troncos” vetada pelo Presidente da República e mantida pelo Congresso Nacional, em 17.12.1962) os serviços públicos de telégrafos, de telefones interestaduais e de radiocomunicações, ressalvadas as exceções constantes desta lei, inclusive quanto aos de radiodifusão e ao serviço internacional; fiscalizar os serviços de telecomunicações por ela concedidos, autorizados ou permitidos.",urn:lex:br:federal:lei:1962-08-27;4117!art10_cpt
"CPT","lei_4117_19620827, Art. 11., caput",115,116,"[ Institui o Código Brasileiro de Telecomunicações. | DA COMPETÊNCIA DA UNIÃO | ] Compete, também, a União: fiscalizar os serviços de telecomunicações concedidos, permitidos ou autorizados pelos Estados ou Municípios, em tudo que disser respeito a observância das normas gerais estabelecidas nesta lei e a integração desses serviços no Sistema Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art11_cpt
"CPT","lei_4117_19620827, Art. 12., caput",119,120,"[ Institui o Código Brasileiro de Telecomunicações. | DA COMPETÊNCIA DA UNIÃO | ] As concessões feitas na faixa de 150 (cento e cinqüenta) quilômetros estabelecida na Lei nº 2.597, de 12 de setembro de 1955 obedecerão às normas fixadas na referida lei, observando-se iguais restrições relativamente aos serviços explorados pela União.",urn:lex:br:federal:lei:1962-08-27;4117!art12_cpt
"CPT","lei_4117_19620827, Art. 13., caput",123,124,"[ Institui o Código Brasileiro de Telecomunicações. | DA COMPETÊNCIA DA UNIÃO | ] Dentro dos seus limites respectivos, os Estados e Municípios poderão organizar, regular e executar serviços de telefones, diretamente ou mediante concessão, obedecidas as normas gerais fixadas pelo Conselho Nacional de Telecomunicações.",urn:lex:br:federal:lei:1962-08-27;4117!art13_cpt
"CPT","lei_4117_19620827, Art. 14., caput",129,130,"[ Institui o Código Brasileiro de Telecomunicações. | DO CONSELHO NACIONAL DE TELECOMUNICAÇÕES | ] É criado o Conselho Nacional de Telecomunicações (C.O.N.T.E.L.), com a organização e competência, definidas nesta lei, diretamente subordinado ao Presidente da República. (Expressões “e competência” e “diretamente subordinado ao Presidente da República” vetadas pelo Presidente da República e mantidas pelo Congresso Nacional, em 17.12.1962).",urn:lex:br:federal:lei:1962-08-27;4117!art14_cpt
