Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_8987_19950213, Art. 1º, caput",3,4,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DAS DISPOSIÇÕES PRELIMINARES | ] As concessões de serviços públicos e de obras públicas e as permissões de serviços públicos reger-se-ão pelos termos do art. 175 da Constituição Federal, por esta Lei, pelas normas legais pertinentes e pelas cláusulas dos indispensáveis contratos.",urn:lex:br:federal:lei:1995-02-13;8987!art1_cpt
"PAR","lei_8987_19950213, Art. 1º, Parágrafo único.",5,6,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DAS DISPOSIÇÕES PRELIMINARES | ] A União, os Estados, o Distrito Federal e os Municípios promoverão a revisão e as adaptações necessárias de sua legislação às prescrições desta Lei, buscando atender as peculiaridades das diversas modalidades dos seus serviços.",urn:lex:br:federal:lei:1995-02-13;8987!art1_par1u
"CPT","lei_8987_19950213, Art. 2º, caput",9,18,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DAS DISPOSIÇÕES PRELIMINARES | ] Para os fins do disposto nesta Lei, considera-se: poder concedente: a União, o Estado, o Distrito Federal ou o Município, em cuja competência se encontre o serviço público, precedido ou não da execução de obra pública, objeto de concessão ou permissão; concessão de serviço público: a delegação de sua prestação, feita pelo poder concedente, mediante licitação, na modalidade concorrência ou diálogo competitivo, a pessoa jurídica ou consórcio de empresas que demonstre capacidade para seu desempenho, por sua conta e risco e por prazo determinado; (Inciso com redação dada pela Lei nº 14.133, de 1º/4/2021) concessão de serviço público precedida da execução de obra pública: a construção, total ou parcial, conservação, reforma, ampliação ou melhoramento de quaisquer obras de interesse público, delegados pelo poder concedente, mediante licitação, na modalidade concorrência ou diálogo competitivo, a pessoa jurídica ou consórcio de empresas que demonstre capacidade para a sua realização, por sua conta e risco, de forma que o investimento da concessionária seja remunerado e amortizado mediante a exploração do serviço ou da obra por prazo determinado; (Inciso com redação dada pela Lei nº 14.133, de 1º/4/2021) permissão de serviço público: a delegação, a título precário, mediante licitação, da prestação de serviços públicos, feita pelo poder concedente à pessoa física ou jurídica que demonstre capacidade para seu desempenho, por sua conta e risco.",urn:lex:br:federal:lei:1995-02-13;8987!art2_cpt
"CPT","lei_8987_19950213, Art. 3º, caput",21,22,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DAS DISPOSIÇÕES PRELIMINARES | ] As concessões e permissões sujeitar-se-ão à fiscalização pelo poder concedente responsável pela delegação, com a cooperação dos usuários.",urn:lex:br:federal:lei:1995-02-13;8987!art3_cpt
"CPT","lei_8987_19950213, Art. 4º, caput",25,26,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DAS DISPOSIÇÕES PRELIMINARES | ] A concessão de serviço público, precedida ou não da execução de obra pública, será formalizada mediante contrato, que deverá observar os termos desta Lei, das normas pertinentes e do edital de licitação.",urn:lex:br:federal:lei:1995-02-13;8987!art4_cpt
"CPT","lei_8987_19950213, Art. 5º, caput",29,30,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DAS DISPOSIÇÕES PRELIMINARES | ] O poder concedente publicará, previamente ao edital de licitação, ato justificando a conveniência da outorga de concessão ou permissão, caracterizando seu objeto, área e prazo.",urn:lex:br:federal:lei:1995-02-13;8987!art5_cpt
"CPT","lei_8987_19950213, Art. 6º, caput",35,36,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DO SERVIÇO ADEQUADO | ] Toda concessão ou permissão pressupõe a prestação de serviço adequado ao pleno atendimento dos usuários, conforme estabelecido nesta Lei, nas normas pertinentes e no respectivo contrato.",urn:lex:br:federal:lei:1995-02-13;8987!art6_cpt
"PAR","lei_8987_19950213, Art. 6º, § 1º",37,38,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DO SERVIÇO ADEQUADO | ] Serviço adequado é o que satisfaz as condições de regularidade, continuidade, eficiência, segurança, atualidade, generalidade, cortesia na sua prestação e modicidade das tarifas.",urn:lex:br:federal:lei:1995-02-13;8987!art6_par1
"PAR","lei_8987_19950213, Art. 6º, § 2º",39,40,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DO SERVIÇO ADEQUADO | ] A atualidade compreende a modernidade das técnicas, do equipamento e das instalações e a sua conservação, bem como a melhoria e expansão do serviço.",urn:lex:br:federal:lei:1995-02-13;8987!art6_par2
"PAR","lei_8987_19950213, Art. 6º, § 3º",41,46,"[ Dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal, e dá outras providências. | DO SERVIÇO ADEQUADO | ] Não se caracteriza como descontinuidade do serviço a sua interrupção em situação de emergência ou após prévio aviso, quando: motivada por razões de ordem técnica ou de segurança das instalações; e, por inadimplemento do usuário, considerado o interesse da coletividade.",urn:lex:br:federal:lei:1995-02-13;8987!art6_par3
