Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_9637_19980515, Art. 1º, caput",4,5,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Da Qualificação | ] O Poder Executivo poderá qualificar como organizações sociais pessoas jurídicas de direito privado, sem fins lucrativos, cujas atividades sejam dirigidas ao ensino, à pesquisa científica, ao desenvolvimento tecnológico, à proteção e preservação do meio ambiente, à cultura e à saúde, atendidos aos requisitos previstos nesta Lei.",urn:lex:br:federal:lei:1998-05-15;9637!art1_cpt
"CPT","lei_9637_19980515, Art. 2º, caput",8,31,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Da Qualificação | ] São requisitos específicos para que as entidades privadas referidas no artigo anterior habilitem-se à qualificação como organização social: comprovar o registro de seu ato constitutivo, dispondo sobre: natureza social de seus objetivos relativos à respectiva área de atuação; finalidade não-lucrativa, com a obrigatoriedade de investimento de seus excedentes financeiros no desenvolvimento das próprias atividades; previsão expressa de a entidade ter, como órgãos de deliberação superior e de direção, um conselho de administração e uma diretoria definidos nos termos do estatuto, asseguradas àquele composição e atribuições normativas e de controle básicas previstas nesta Lei; previsão de participação, no órgão colegiado de deliberação superior, de representantes do Poder Público e de membros da comunidade, de notória capacidade profissional e idoneidade moral; composição e atribuições da diretoria; obrigatoriedade de publicação anual, no Diário Oficial da União, dos relatórios financeiros e do relatório de execução do contrato de gestão; no caso de associação civil, a aceitação de novos associados, na forma do estatuto; proibição de distribuição de bens ou de parcela do patrimônio líquido em qualquer hipótese, inclusive em razão de desligamento, retirada ou falecimento de associado ou membro da entidade; previsão de incorporação integral do patrimônio, dos legados ou das doações que lhe foram destinados, bem como dos excedentes financeiros decorrentes de suas atividades, em caso de extinção ou desqualificação, ao patrimônio de outra organização social qualificada no âmbito da União, da mesma área de atuação, ou ao patrimônio da União, dos Estados, do Distrito Federal ou dos Municípios, na proporção dos recursos e bens por estes alocados; haver aprovação, quanto à conveniência e oportunidade de sua qualificação como organização social, do Ministro ou titular de órgão supervisor ou regulador da área de atividade correspondente ao seu objeto social e do Ministro de Estado da Administração Federal e Reforma do Estado.",urn:lex:br:federal:lei:1998-05-15;9637!art2_cpt
"CPT","lei_9637_19980515, Art. 3º, caput",36,63,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Conselho de Administração | ] O conselho de administração deve estar estruturado nos termos que dispuser o respectivo estatuto, observados, para os fins de atendimento dos requisitos de qualificação, os seguintes critérios básicos: ser composto por: 20 a 40% (vinte a quarenta por cento) de membros natos representantes do Poder Público, definidos pelo estatuto da entidade; 20 a 30% (vinte a trinta por cento) de membros natos representantes de entidades da sociedade civil, definidos pelo estatuto; até 10% (dez por cento), no caso de associação civil, de membros eleitos dentre os membros ou os associados; 10 a 30% (dez a trinta por cento) de membros eleitos pelos demais integrantes do conselho, dentre pessoas de notória capacidade profissional e reconhecida idoneidade moral; até 10% (dez por cento) de membros indicados ou eleitos na forma estabelecida pelo estatuto; os membros eleitos ou indicados para compor o Conselho devem ter mandato de quatro anos, admitida uma recondução; os representantes de entidades previstos nas alíneas ""a"" e ""b"" do inciso I devem corresponder a mais de 50% (cinquenta por cento) do Conselho; o primeiro mandato de metade dos membros eleitos ou indicados deve ser de dois anos, segundo critérios estabelecidos no estatuto; o dirigente máximo da entidade deve participar das reuniões do conselho, sem direito a voto; o Conselho deve reunir-se ordinariamente, no mínimo, três vezes a cada ano e, extraordinariamente, a qualquer tempo; os conselheiros não devem receber remuneração pelos serviços que, nesta condição, prestarem à organização social, ressalvada a ajuda de custo por reunião da qual participem; os conselheiros eleitos ou indicados para integrar a diretoria da entidade devem renunciar ao assumirem funções executivas.",urn:lex:br:federal:lei:1998-05-15;9637!art3_cpt
"CPT","lei_9637_19980515, Art. 4º, caput",66,87,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Conselho de Administração | ] Para os fins de atendimento dos requisitos de qualificação, devem ser atribuições privativas do Conselho de Administração, dentre outras: fixar o âmbito de atuação da entidade, para consecução do seu objeto; aprovar a proposta de contrato de gestão da entidade; aprovar a proposta de orçamento da entidade e o programa de investimentos; designar e dispensar os membros da diretoria; fixar a remuneração dos membros da diretoria; aprovar e dispor sobre a alteração dos estatutos e a extinção da entidade por maioria, no mínimo, de dois terços de seus membros; aprovar o regimento interno da entidade, que deve dispor, no mínimo, sobre a estrutura, forma de gerenciamento, os cargos e respectivas competências; aprovar por maioria, no mínimo, de dois terços de seus membros, o regulamento próprio contendo os procedimentos que deve adotar para a contratação de obras, serviços, compras e alienações e o plano de cargos, salários e benefícios dos empregados da entidade; aprovar e encaminhar, ao órgão supervisor da execução do contrato de gestão, os relatórios gerenciais e de atividades da entidade, elaborados pela diretoria; fiscalizar o cumprimento das diretrizes e metas definidas e aprovar os demonstrativos financeiros e contábeis e as contas anuais da entidade, com o auxílio de auditoria externa.",urn:lex:br:federal:lei:1998-05-15;9637!art4_cpt
"CPT","lei_9637_19980515, Art. 5º, caput",92,93,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Contrato de Gestão | ] Para os efeitos desta Lei, entende-se por contrato de gestão o instrumento firmado entre o Poder Público e a entidade qualificada como organização social, com vistas à formação de parceria entre as partes para fomento e execução de atividades relativas às áreas relacionadas no art. 1º.",urn:lex:br:federal:lei:1998-05-15;9637!art5_cpt
"CPT","lei_9637_19980515, Art. 6º, caput",96,97,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Contrato de Gestão | ] O contrato de gestão, elaborado de comum acordo entre o órgão ou entidade supervisora e a organização social, discriminará as atribuições, responsabilidades e obrigações do Poder Público e da organização social.",urn:lex:br:federal:lei:1998-05-15;9637!art6_cpt
"PAR","lei_9637_19980515, Art. 6º, Parágrafo único.",98,99,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Contrato de Gestão | ] O contrato de gestão deve ser submetido, após aprovação pelo Conselho de Administração da entidade, ao Ministro de Estado ou autoridade supervisora da área correspondente à atividade fomentada.",urn:lex:br:federal:lei:1998-05-15;9637!art6_par1u
"CPT","lei_9637_19980515, Art. 7º, caput",102,107,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Contrato de Gestão | ] Na elaboração do contrato de gestão, devem ser observados os princípios da legalidade, impessoalidade, moralidade, publicidade, economicidade e, também, os seguintes preceitos: especificação do programa de trabalho proposto pela organização social, a estipulação das metas a serem atingidas e os respectivos prazos de execução, bem como previsão expressa dos critérios objetivos de avaliação de desempenho a serem utilizados, mediante indicadores de qualidade e produtividade; a estipulação dos limites e critérios para despesa com remuneração e vantagens de qualquer natureza a serem percebidas pelos dirigentes e empregados das organizações sociais, no exercício de suas funções.",urn:lex:br:federal:lei:1998-05-15;9637!art7_cpt
"PAR","lei_9637_19980515, Art. 7º, Parágrafo único.",108,109,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Do Contrato de Gestão | ] Os Ministros de Estado ou autoridades supervisoras da área de atuação da entidade devem definir as demais cláusulas dos contratos de gestão de que sejam signatários.",urn:lex:br:federal:lei:1998-05-15;9637!art7_par1u
"CPT","lei_9637_19980515, Art. 8º, caput",114,115,"[ Dispõe sobre a qualificação de entidades como organizações sociais, a criação do Programa Nacional de Publicização, a extinção dos órgãos e entidades que menciona e a absorção de suas atividades por organizações sociais, e dá outras providências. | DAS ORGANIZAÇÕES SOCIAIS | Da Execução e Fiscalização do Contrato de Gestão | ] A execução do contrato de gestão celebrado por organização social será fiscalizada pelo órgão ou entidade supervisora da área de atuação correspondente à atividade fomentada.",urn:lex:br:federal:lei:1998-05-15;9637!art8_cpt
