Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_complementar_123_20061214, Art. 1º, caput",3,12,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] Esta Lei Complementar estabelece normas gerais relativas ao tratamento diferenciado e favorecido a ser dispensado às microempresas e empresas de pequeno porte no âmbito dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios, especialmente no que se refere: à apuração e recolhimento dos impostos e contribuições da União, dos Estados, do Distrito Federal e dos Municípios, mediante regime único de arrecadação, inclusive obrigações acessórias; ao cumprimento de obrigações trabalhistas e previdenciárias, inclusive obrigações acessórias; ao acesso a crédito e ao mercado, inclusive quanto à preferência nas aquisições de bens e serviços pelos Poderes Públicos, à tecnologia, ao associativismo e às regras de inclusão. ao cadastro nacional único de contribuintes a que se refere o inciso IV do § 1º do art. 146 da Constituição Federal. (Inciso acrescido pela Lei Complementar nº 147, de 7.8.2014, e com redação dada pela Lei Complementar nº 214, de 16.1.2025, produzindo efeitos a partir de 1º/1/2025)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_cpt
"PAR","lei_complementar_123_20061214, Art. 1º, § 1º",13,14,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] Cabe ao Comitê Gestor do Simples Nacional (CGSN) apreciar a necessidade de revisão, a partir de 1º de janeiro de 2015, dos valores expressos em moeda nesta Lei Complementar.",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par1
"PAR","lei_complementar_123_20061214, Art. 1º, § 2º",15,16,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] (VETADO)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par2
"PAR","lei_complementar_123_20061214, Art. 1º, § 3º",17,18,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] Ressalvado o disposto no Capítulo IV, toda nova obrigação que atinja as microempresas e empresas de pequeno porte deverá apresentar, no instrumento que a instituiu, especificação do tratamento diferenciado, simplificado e favorecido para cumprimento. (Parágrafo acrescido pela Lei Complementar nº 147, de 7.8.2014)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par3
"PAR","lei_complementar_123_20061214, Art. 1º, § 4º",19,20,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] Na especificação do tratamento diferenciado, simplificado e favorecido de que trata o § 3º, deverá constar prazo máximo, quando forem necessários procedimentos adicionais, para que os órgãos fiscalizadores cumpram as medidas necessárias à emissão de documentos, realização de vistorias e atendimento das demandas realizadas pelas microempresas e empresas de pequeno porte com o objetivo de cumprir a nova obrigação. (Parágrafo acrescido pela Lei Complementar nº 147, de 7.8.2014)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par4
"PAR","lei_complementar_123_20061214, Art. 1º, § 5º",21,22,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] Caso o órgão fiscalizador descumpra os prazos estabelecidos na especificação do tratamento diferenciado e favorecido, conforme o disposto no § 4º, a nova obrigação será inexigível até que seja realizada visita para fiscalização orientadora e seja reiniciado o prazo para regularização. (Parágrafo acrescido pela Lei Complementar nº 147, de 7.8.2014)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par5
"PAR","lei_complementar_123_20061214, Art. 1º, § 6º",23,24,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] A ausência de especificação do tratamento diferenciado, simplificado e favorecido ou da determinação de prazos máximos, de acordo com os §§ 3º e 4º, tornará a nova obrigação inexigível para as microempresas e empresas de pequeno porte. (Parágrafo acrescido pela Lei Complementar nº 147, de 7.8.2014)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par6
"PAR","lei_complementar_123_20061214, Art. 1º, § 7º",25,26,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] A inobservância do disposto nos §§ 3º a 6º resultará em atentado aos direitos e garantias legais assegurados ao exercício profissional da atividade empresarial. (Parágrafo acrescido pela Lei Complementar nº 147, de 7.8.2014)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art1_par7
"CPT","lei_complementar_123_20061214, Art. 2º, caput",29,36,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] O tratamento diferenciado e favorecido a ser dispensado às microempresas e empresas de pequeno porte de que trata o art. 1º desta Lei Complementar será gerido pelas instâncias a seguir especificadas: Comitê Gestor do Simples Nacional, vinculado ao Ministério da Fazenda, composto de 4 (quatro) representantes da União, 2 (dois) dos Estados e do Distrito Federal, 2 (dois) dos Municípios, 1 (um) do Serviço Brasileiro de Apoio às Micro e Pequenas Empresas (Sebrae) e 1 (um) das confederações nacionais de representação do segmento de microempresas e empresas de pequeno porte referidas no art. 11 da Lei Complementar nº 147, de 7 de agosto de 2014, para tratar dos aspectos tributários; (Inciso com redação dada pela Lei Complementar nº 214, de 16.1.2025, produzindo efeitos a partir de 1º/1/2025) Fórum Permanente das Microempresas e Empresas de Pequeno Porte, com a participação dos órgãos federais competentes e das entidades vinculadas ao setor, para tratar dos demais aspectos, ressalvado o disposto no inciso III do caput deste artigo; Comitê para Integração das Administrações Tributárias e Gestão da Rede Nacional para Simplificação do Registro e da Legalização de Empresas e Negócios - CGSIM, vinculado ao Ministério da Fazenda, composto por representantes da União, Estados, Municípios e Distrito Federal e demais órgãos de apoio e de registro, na forma definida pelo Poder Executivo, para tratar dos atos cadastrais tributários e do processo de registro e de legalização de empresários e de pessoas jurídicas. (Inciso com redação dada pela Lei Complementar nº 214, de 16.1.2025, produzindo efeitos a partir de 1º/1/2025)",urn:lex:br:federal:lei.complementar:2006-12-14;123!art2_cpt
"PAR","lei_complementar_123_20061214, Art. 2º, § 1º",37,38,"[ (Republicada no DOU de 6.3.2012 em atendimento ao disposto no art. 5º da Lei Complementar nº 139, de 10 de novembro de 2011) Institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte; altera dispositivos das Leis nº 8.212 e 8.213, ambas de 24 de julho de 1991, da Consolidação das Leis do Trabalho - CLT, aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, da Lei nº 10.189, de 14 de fevereiro de 2001, da Lei Complementar nº 63, de 11 de janeiro de 1990; e revoga as Leis nº 9.317, de 5 de dezembro de 1996, e 9.841, de 5 de outubro de 1999. | DISPOSIÇÕES PRELIMINARES | ] Os Comitês de que tratam os incisos I e III do caput deste artigo serão presididos e coordenados por representantes da União.",urn:lex:br:federal:lei.complementar:2006-12-14;123!art2_par1
