Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","lei_complementar_182_20210601, Art. 1º, caput",3,4,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DAS DEFINIÇÕES, DOS PRINCÍPIOS E DAS DIRETRIZES FUNDAMENTAIS | ] Esta Lei Complementar institui o marco legal das startup se do empreendedorismo inovador.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art1_cpt
"PAR","lei_complementar_182_20210601, Art. 1º, Parágrafo único.",5,12,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DAS DEFINIÇÕES, DOS PRINCÍPIOS E DAS DIRETRIZES FUNDAMENTAIS | ] Esta Lei Complementar: estabelece os princípios e as diretrizes para a atuação da administração pública no âmbito da União, dos Estados, do Distrito Federal e dos Municípios; apresenta medidas de fomento ao ambiente de negócios e ao aumento da oferta de capital para investimento em empreendedorismo inovador; e disciplina a licitação e a contratação de soluções inovadoras pela administração pública.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art1_par1u
"CPT","lei_complementar_182_20210601, Art. 2º, caput",15,20,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DAS DEFINIÇÕES, DOS PRINCÍPIOS E DAS DIRETRIZES FUNDAMENTAIS | ] Para os efeitos desta Lei Complementar, considera-se: investidor-anjo: investidor que não é considerado sócio nem tem qualquer direito a gerência ou a voto na administração da empresa, não responde por qualquer obrigação da empresa e é remunerado por seus aportes; ambiente regulatório experimental (sandbox regulatório): conjunto de condições especiais simplificadas para que as pessoas jurídicas participantes possam receber autorização temporária dos órgãos ou das entidades com competência de regulamentação setorial para desenvolver modelos de negócios inovadores e testar técnicas e tecnologias experimentais, mediante o cumprimento de critérios e de limites previamente estabelecidos pelo órgão ou entidade reguladora e por meio de procedimento facilitado.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art2_cpt
"CPT","lei_complementar_182_20210601, Art. 3º, caput",23,42,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DAS DEFINIÇÕES, DOS PRINCÍPIOS E DAS DIRETRIZES FUNDAMENTAIS | ] Esta Lei Complementar é pautada pelos seguintes princípios e diretrizes: reconhecimento do empreendedorismo inovador como vetor de desenvolvimento econômico, social e ambiental; incentivo à constituição de ambientes favoráveis ao empreendedorismo inovador, com valorização da segurança jurídica e da liberdade contratual como premissas para a promoção do investimento e do aumento da oferta de capital direcionado a iniciativas inovadoras; importância das empresas como agentes centrais do impulso inovador em contexto de livre mercado; modernização do ambiente de negócios brasileiro, à luz dos modelos de negócios emergentes; fomento ao empreendedorismo inovador como meio de promoção da produtividade e da competitividade da economia brasileira e de geração de postos de trabalho qualificados; aperfeiçoamento das políticas públicas e dos instrumentos de fomento ao empreendedorismo inovador; promoção da cooperação e da interação entre os entes públicos, entre os setores público e privado e entre empresas, como relações fundamentais para a conformação de ecossistema de empreendedorismo inovador efetivo; incentivo à contratação, pela administração pública, de soluções inovadoras elaboradas ou desenvolvidas por startups, reconhecidos o papel do Estado no fomento à inovação e as potenciais oportunidades de economicidade, de benefício e de solução de problemas públicos com soluções inovadoras; e promoção da competitividade das empresas brasileiras e da internacionalização e da atração de investimentos estrangeiros.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art3_cpt
"CPT","lei_complementar_182_20210601, Art. 4º, caput",47,48,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO ENQUADRAMENTO DE EMPRESAS STARTUPS | ] São enquadradas como startups as organizações empresariais ou societárias, nascentes ou em operação recente, cuja atuação caracteriza-se pela inovação aplicada a modelo de negócios ou a produtos ou serviços ofertados.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art4_cpt
"PAR","lei_complementar_182_20210601, Art. 4º, § 1º",49,60,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO ENQUADRAMENTO DE EMPRESAS STARTUPS | ] Para fins de aplicação desta Lei Complementar, são elegíveis para o enquadramento na modalidade de tratamento especial destinada ao fomento de startup o empresário individual, a empresa individual de responsabilidade limitada, as sociedades empresárias, as sociedades cooperativas e as sociedades simples: com receita bruta de até R$ 16.000.000,00 (dezesseis milhões de reais) no ano-calendário anterior ou de R$ 1.333.334,00 (um milhão, trezentos e trinta e três mil trezentos e trinta e quatro reais) multiplicado pelo número de meses de atividade no ano-calendário anterior, quando inferior a 12 (doze) meses, independentemente da forma societária adotada; com até 10 (dez) anos de inscrição no Cadastro Nacional da Pessoa Jurídica (CNPJ) da Secretaria Especial da Receita Federal do Brasil do Ministério da Economia; e que atendam a um dos seguintes requisitos, no mínimo: declaração em seu ato constitutivo ou alterador e utilização de modelos de negócios inovadores para a geração de produtos ou serviços, nos termos do inciso IV do caput do art. 2º da Lei nº 10.973, de 2 de dezembro de 2004; ou enquadramento no regime especial Inova Simples, nos termos do art. 65-A da Lei Complementar nº 123, de 14 de dezembro de 2006.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art4_par1
"PAR","lei_complementar_182_20210601, Art. 4º, § 2º",61,68,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO ENQUADRAMENTO DE EMPRESAS STARTUPS | ] Para fins de contagem do prazo estabelecido no inciso II do § 1º deste artigo, deverá ser observado o seguinte: para as empresas decorrentes de incorporação, será considerado o tempo de inscrição da empresa incorporadora; para as empresas decorrentes de fusão, será considerado o maior tempo de inscrição entre as empresas fundidas; e para as empresas decorrentes de cisão, será considerado o tempo de inscrição da empresa cindida, na hipótese de criação de nova sociedade, ou da empresa que a absorver, na hipótese de transferência de patrimônio para a empresa existente.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art4_par2
"CPT","lei_complementar_182_20210601, Art. 5º, caput",73,74,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] As startups poderão admitir aporte de capital por pessoa física ou jurídica, que poderá resultar ou não em participação no capital social da startup, a depender da modalidade de investimento escolhida pelas partes.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art5_cpt
"PAR","lei_complementar_182_20210601, Art. 5º, § 1º",75,90,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] Não será considerado como integrante do capital social da empresa o aporte realizado na startup por meio dos seguintes instrumentos: contrato de opção de subscrição de ações ou de quotas celebrado entre o investidor e a empresa; contrato de opção de compra de ações ou de quotas celebrado entre o investidor e os acionistas ou sócios da empresa; debênture conversível emitida pela empresa nos termos da Lei nº 6.404, de 15 de dezembro de 1976; contrato de mútuo conversível em participação societária celebrado entre o investidor e a empresa; estruturação de sociedade em conta de participação celebrada entre o investidor e a empresa; contrato de investimento-anjo na forma da Lei Complementar nº 123, de 14 de dezembro 2006; outros instrumentos de aporte de capital em que o investidor, pessoa física ou jurídica, não integre formalmente o quadro de sócios da startup e/ou não tenha subscrito qualquer participação representativa do capital social da empresa.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art5_par1
"PAR","lei_complementar_182_20210601, Art. 5º, § 2º",91,92,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] Realizado o aporte por qualquer das formas previstas neste artigo, a pessoa física ou jurídica somente será considerada quotista, acionista ou sócia da startup após a conversão do instrumento do aporte em efetiva e formal participação societária.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art5_par2
"PAR","lei_complementar_182_20210601, Art. 5º, § 3º",93,94,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] Os valores recebidos por empresa e oriundos dos instrumentos jurídicos estabelecidos neste artigo serão registrados contabilmente, de acordo com a natureza contábil do instrumento.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art5_par3
"CPT","lei_complementar_182_20210601, Art. 6º, caput",97,98,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] A Comissão de Valores Mobiliários (CVM) estabelecerá em regulamento as regras para aporte de capital na forma do art. 5º desta Lei Complementar por parte de fundos de investimento.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art6_cpt
"CPT","lei_complementar_182_20210601, Art. 7º, caput",101,102,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] (VETADO).",urn:lex:br:federal:lei.complementar:2021-06-01;182!art7_cpt
"CPT","lei_complementar_182_20210601, Art. 8º, caput",105,110,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] O investidor que realizar o aporte de capital a que se refere o art. 5º desta Lei Complementar: não será considerado sócio ou acionista nem possuirá direito a gerência ou a voto na administração da empresa, conforme pactuação contratual; não responderá por qualquer dívida da empresa, inclusive em recuperação judicial, e a ele não se estenderá o disposto no art. 50 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), no art. 855-A da Consolidação das Leis do Trabalho (CLT), aprovada pelo Decreto-Lei nº 5.452, de 1º de maio de 1943, nos arts. 124, 134 e 135 da Lei nº 5.172, de 25 de outubro de 1966 (Código Tributário Nacional), e em outras disposições atinentes à desconsideração da personalidade jurídica existentes na legislação vigente.remove_red_eyeNormas correlatas",urn:lex:br:federal:lei.complementar:2021-06-01;182!art8_cpt
"PAR","lei_complementar_182_20210601, Art. 8º, Parágrafo único.",111,112,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS INSTRUMENTOS DE INVESTIMENTO EM INOVAÇÃO | ] As disposições do inciso II do caput deste artigo não se aplicam às hipóteses de dolo, de fraude ou de simulação com o envolvimento do investidor.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art8_par1u
"CPT","lei_complementar_182_20210601, Art. 9º, caput",117,130,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO FOMENTO À PESQUISA, AO DESENVOLVIMENTO E À INOVAÇÃO | ] As empresas que possuem obrigações de investimento em pesquisa, desenvolvimento e inovação, decorrentes de outorgas ou de delegações firmadas por meio de agências reguladoras, ficam autorizadas a cumprir seus compromissos com aporte de recursos em startups por meio de: fundos patrimoniais de que trata a Lei nº 13.800, de 4 de janeiro de 2019, destinados à inovação, na forma do regulamento; Fundos de Investimento em Participações (FIP), autorizados pela CVM, nas categorias: capital semente; empresas emergentes; e empresas com produção econômica intensiva em pesquisa, desenvolvimento e inovação; e investimentos em programas, em editais ou em concursos destinados a financiamento, a aceleração e a escalabilidade de startups, gerenciados por instituições públicas, tais como empresas públicas direcionadas ao desenvolvimento de pesquisa, inovação e novas tecnologias, fundações universitárias, entidades paraestatais e bancos de fomento que tenham como finalidade o desenvolvimento de empresas de base tecnológica, de ecossistemas empreendedores e de estímulo à inovação.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art9_cpt
"PAR","lei_complementar_182_20210601, Art. 9º, § 1º",131,132,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO FOMENTO À PESQUISA, AO DESENVOLVIMENTO E À INOVAÇÃO | ] O disposto no caput deste artigo não se aplica aos percentuais mínimos legais ou contratuais estabelecidos para serem aportados em fundos públicos.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art9_par1
"PAR","lei_complementar_182_20210601, Art. 9º, § 2º",133,140,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO FOMENTO À PESQUISA, AO DESENVOLVIMENTO E À INOVAÇÃO | ] O representante legal do FIP, do fundo patrimonial ou da instituição pública que receber recursos nos termos do caput deste artigo emitirá certificado comprobatório para fins de eficácia liberatória quanto às obrigações legais ou contratuais de investimento em pesquisa, desenvolvimento e inovação, na exata proporção do seu aporte, por ocasião: da efetiva transferência do recurso ao fundo patrimonial, após a celebração de instrumento de transferência de recursos, no valor das despesas qualificadas para esse fim; do efetivo comprometimento do recurso, após a assinatura do boletim de subscrição do FIP, nos termos do regulamento editado pela CVM; e do efetivo recebimento do recurso pela instituição pública para efetivação de programas e de editais direcionados às atividades referidas no inciso III do caput do art. 9º desta Lei Complementar.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art9_par2
"PAR","lei_complementar_182_20210601, Art. 9º, § 3º",141,142,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO FOMENTO À PESQUISA, AO DESENVOLVIMENTO E À INOVAÇÃO | ] Para que o fundo patrimonial ou o FIP capte recursos perante as empresas que possuem obrigações legais ou contratuais de investimento em pesquisa, desenvolvimento e inovação, e para que essa captação tenha eficácia liberatória quanto às obrigações, a sua destinação estará adstrita às diretivas indicadas pela entidade setorial responsável por fiscalizar tais obrigações.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art9_par3
"CPT","lei_complementar_182_20210601, Art. 10., caput",145,146,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DO FOMENTO À PESQUISA, AO DESENVOLVIMENTO E À INOVAÇÃO | ] Ato do Poder Executivo federal regulamentará a forma de prestação de contas do FIP, do fundo patrimonial ou da instituição pública que receber recursos nos termos do art. 9º desta Lei Complementar e a fiscalização das obrigações legais ou contratuais de investimento em pesquisa, desenvolvimento e inovação.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art10_cpt
"CPT","lei_complementar_182_20210601, Art. 11., caput",151,152,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS PROGRAMAS DE AMBIENTE REGULATÓRIO EXPERIMENTAL (SANDBOX REGULATÓRIO) | ] Os órgãos e as entidades da administração pública com competência de regulamentação setorial poderão, individualmente ou em colaboração, no âmbito de programas de ambiente regulatório experimental (sandbox regulatório), afastar a incidência de normas sob sua competência em relação à entidade regulada ou aos grupos de entidades reguladas.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art11_cpt
"PAR","lei_complementar_182_20210601, Art. 11., § 1º",153,154,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS PROGRAMAS DE AMBIENTE REGULATÓRIO EXPERIMENTAL (SANDBOX REGULATÓRIO) | ] A colaboração a que se refere o caput deste artigo poderá ser firmada entre os órgãos e as entidades, observadas suas competências.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art11_par1
"PAR","lei_complementar_182_20210601, Art. 11., § 2º",155,156,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS PROGRAMAS DE AMBIENTE REGULATÓRIO EXPERIMENTAL (SANDBOX REGULATÓRIO) | ] Entende-se por ambiente regulatório experimental (sandbox regulatório) o disposto no inciso II do caput do art. 2º desta Lei Complementar.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art11_par2
"PAR","lei_complementar_182_20210601, Art. 11., § 3º",157,164,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DOS PROGRAMAS DE AMBIENTE REGULATÓRIO EXPERIMENTAL (SANDBOX REGULATÓRIO) | ] O órgão ou a entidade a que se refere o caput deste artigo disporá sobre o funcionamento do programa de ambiente regulatório experimental e estabelecerá: os critérios para seleção ou para qualificação do regulado; a duração e o alcance da suspensão da incidência das normas; e as normas abrangidas.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art11_par3
"CPT","lei_complementar_182_20210601, Art. 12., caput",170,175,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Disposições Gerais | ] As licitações e os contratos a que se refere este Capítulo têm por finalidade: resolver demandas públicas que exijam solução inovadora com emprego de tecnologia; e promover a inovação no setor produtivo por meio do uso do poder de compra do Estado.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art12_cpt
"PAR","lei_complementar_182_20210601, Art. 12., § 1º",176,177,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Disposições Gerais | ] Os órgãos e as entidades da administração pública direta, autárquica e fundacional de quaisquer dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios subordinam-se ao regime disposto neste Capítulo.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art12_par1
"PAR","lei_complementar_182_20210601, Art. 12., § 2º",178,179,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Disposições Gerais | ] As empresas públicas, as sociedades de economia mista e suas subsidiárias poderão adotar, no que couber, as disposições deste Capítulo, nos termos do regulamento interno de licitações e contratações de que trata o art. 40 da Lei nº 13.303, de 30 de junho de 2016, e seus conselhos de administração poderão estabelecer valores diferenciados para os limites de que tratam o § 2º do art. 14 e o § 3º do art. 15 desta Lei Complementar.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art12_par2
"PAR","lei_complementar_182_20210601, Art. 12., § 3º",180,181,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Disposições Gerais | ] Os valores estabelecidos neste Capítulo poderão ser anualmente atualizados pelo Poder Executivo federal, de acordo com o Índice Nacional de Preços ao Consumidor Amplo (IPCA) ou outro que venha a substituí-lo.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art12_par3
"CPT","lei_complementar_182_20210601, Art. 13., caput",186,187,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Da Licitação | ] A administração pública poderá contratar pessoas físicas ou jurídicas, isoladamente ou em consórcio, para o teste de soluções inovadoras por elas desenvolvidas ou a ser desenvolvidas, com ou sem risco tecnológico, por meio de licitação na modalidade especial regida por esta Lei Complementar.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art13_cpt
"PAR","lei_complementar_182_20210601, Art. 13., § 1º",188,189,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Da Licitação | ] A delimitação do escopo da licitação poderá restringir-se à indicação do problema a ser resolvido e dos resultados esperados pela administração pública, incluídos os desafios tecnológicos a serem superados, dispensada a descrição de eventual solução técnica previamente mapeada e suas especificações técnicas, e caberá aos licitantes propor diferentes meios para a resolução do problema.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art13_par1
"PAR","lei_complementar_182_20210601, Art. 13., § 2º",190,195,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Da Licitação | ] O edital da licitação será divulgado, com antecedência de, no mínimo, 30 (trinta) dias corridos até a data de recebimento das propostas: em sítio eletrônico oficial centralizado de divulgação de licitações ou mantido pelo ente público licitante; e no diário oficial do ente federativo.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art13_par2
"PAR","lei_complementar_182_20210601, Art. 13., § 3º",196,201,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Da Licitação | ] As propostas serão avaliadas e julgadas por comissão especial integrada por, no mínimo, 3 (três) pessoas de reputação ilibada e reconhecido conhecimento no assunto, das quais: 1 (uma) deverá ser servidor público integrante do órgão para o qual o serviço está sendo contratado; e 1 (uma) deverá ser professor de instituição pública de educação superior na área relacionada ao tema da contratação.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art13_par3
"PAR","lei_complementar_182_20210601, Art. 13., § 4º",202,213,"[ Institui o marco legal das startups e do empreendedorismo inovador; e altera a Lei nº 6.404, de 15 de dezembro de 1976, e a Lei Complementar nº 123, de 14 de dezembro de 2006. | DA CONTRATAÇÃO DE SOLUÇÕES INOVADORAS PELO ESTADO | Da Licitação | ] Os critérios para julgamento das propostas deverão considerar, sem prejuízo de outros definidos no edital: o potencial de resolução do problema pela solução proposta e, se for o caso, da provável economia para a administração pública; o grau de desenvolvimento da solução proposta; a viabilidade e a maturidade do modelo de negócio da solução; a viabilidade econômica da proposta, considerados os recursos financeiros disponíveis para a celebração dos contratos; e a demonstração comparativa de custo e benefício da proposta em relação às opções funcionalmente equivalentes.",urn:lex:br:federal:lei.complementar:2021-06-01;182!art13_par4
