Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_396_2005.anexo1, Art. 1º, caput",4,5,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETIVO | ] Este regulamento tem por objetivo estabelecer as diretrizes para apresentação do Documento de Separação e Alocação de Contas dos Grupos de Prestadoras de Serviços de Telecomunicações.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art1_cpt
"CPT","res_anatel_396_2005.anexo1, Art. 3º, caput",11,12,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] O Documento de Separação e Alocação de Contas (DSAC) deve contemplar as informações, constantes dos Anexos I, II e III deste Regulamento, relativas a todas as prestadoras de serviços de telecomunicações pertencentes ao Grupo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art3_cpt
"PAR","res_anatel_396_2005.anexo1, Art. 3º, Parágrafo único.",13,14,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] O DSAC deve ser apresentado separadamente para cada região do Plano Geral de Outorgas (PGO) em que atue o Grupo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art3_par1u
"CPT","res_anatel_396_2005.anexo1, Art. 4º, caput",17,18,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] Todas as informações prestadas em decorrência deste Regulamento devem ser auditadas por auditores independentes registrados na Comissão de Valores Mobiliários (CVM), contratados pelo Grupo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art4_cpt
"PAR","res_anatel_396_2005.anexo1, Art. 4º, Parágrafo único.",19,20,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] : O Grupo deve apresentar documento emitido por auditores independentes que ateste a fidedignidade das informações econômico-financeiras apresentadas em decorrência deste Regulamento, em relação aos registros contábeis e metodologias de alocação de custos e ativos das empresas que o compõem."" (NR) (Redação dada pela Resolução nº 714, de 17 de julho de 2018)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art4_par1u
"CPT","res_anatel_396_2005.anexo1, Art. 5º, caput",23,24,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] O DSAC, quando de apresentação obrigatória, deve ser enviado anualmente à Anatel em até 120 dias, contados do encerramento de cada exercício social. V. Resolução nº 608, de 5 de abril de 2013, que define prazo de 120 (cento e vinte) dias para entrega dos dados referentes aos exercícios de 2011 e 2012, mantendo-se o prazo deste artigo para os exercícios posteriores.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art5_cpt
"PAR","res_anatel_396_2005.anexo1, Art. 5º, § 1º",25,26,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] A data da primeira apresentação do DSAC será estabelecida em regulamentação específica",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art5_par1
"PAR","res_anatel_396_2005.anexo1, Art. 5º, § 2º",27,28,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] O DSAC deve contemplar as informações relativas aos 2 (dois) últimos exercícios sociais, exceto em seu primeiro ano de apresentação, que deve contemplar apenas as informações relativas ao último exercício social.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art5_par2
"PAR","res_anatel_396_2005.anexo1, Art. 5º, § 3º",29,30,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] O DSAC deve ser enviado dentro do prazo estabelecido, por meio eletrônico, em conformidade com o sistema de acompanhamento de custos da Anatel.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art5_par3
"CPT","res_anatel_396_2005.anexo1, Art. 6º, caput",33,34,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] A Anatel poderá recusar as contas apresentadas e exigir que sejam feitas alterações por ela indicadas.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art6_cpt
"PAR","res_anatel_396_2005.anexo1, Art. 6º, Parágrafo único.",35,36,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] No caso de recusa, um novo de Contas DSAC contemplando as alterações solicitadas deve ser apresentado à Anatel em até 30 dias, contados a partir da data de notificação da recusa.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art6_par1u
"CPT","res_anatel_396_2005.anexo1, Art. 7º, caput",39,40,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] A Anatel disponibilizará em sua biblioteca os DSAC apresentados.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art7_cpt
"PAR","res_anatel_396_2005.anexo1, Art. 7º, Parágrafo único.",41,42,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] A Anatel poderá manter em sigilo partes do DSAC que considere confidenciais, mediante requerimento do Grupo ou de Concessionária de Serviço Telefônico Fixo Comutado- STFC.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art7_par1u
"CPT","res_anatel_396_2005.anexo1, Art. 8º, caput",45,46,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] A não entrega ou a entrega fora dos prazos estabelecidos pela Anatel do Documento de Separação e Alocação de Contas implicará sanções, nos termos da regulamentação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art8_cpt
"CPT","res_anatel_396_2005.anexo1, Art. 9º, caput",49,50,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] A Anatel, excepcionalmente, poderá, considerando o processo de implementação dos modelos de custos, reavaliar as condições, as formas de apresentação dos dados e os itens estabelecidos neste regulamento.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art9_cpt
"PAR","res_anatel_396_2005.anexo1, Art. 9º, Parágrafo único.",51,52,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] Os itens da estrutura de informações contidas nas Tabelas 1 a 9 e nos Apêndices A B, C e D, todos constantes do Anexo I deste Regulamento, serão estabelecidos por meio de Despacho do Superintendente de Competição, sendo suas posteriores alterações precedidas por consulta pública."" (NR) (Redação dada pela Resolução nº 714, de 17 de julho de 2018)",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art9_par1u
"CPT","res_anatel_396_2005.anexo1, Art. 10., caput",57,58,"[ DAS DISPOSIÇÕES FINAIS | ] No caso de Grupo que inclua as Concessionárias de STFC nos setores 3 da Região I, 22 e 25 da Região II e 33 da Região III, o DSAC poderá ser apresentado de forma consolidada para estes setores. LISTA DE SIGLAS E ABREVIATURAS UTILIZADAS NESTE REGULAMENTO, SEUS ANEXOS E APÊNDICES",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art10_cpt
"ART","res_anatel_396_2005.anexo1, Art. 1º",3,6,"[ DAS DISPOSIÇÕES GERAIS | DO OBJETIVO | ] Art. 1º Este regulamento tem por objetivo estabelecer as diretrizes para apresentação do Documento de Separação e Alocação de Contas dos Grupos de Prestadoras de Serviços de Telecomunicações.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art1
"ART","res_anatel_396_2005.anexo1, Art. 3º",10,15,"[ DO DOCUMENTO DE SEPARAÇÃO E ALOCAÇÃO DE CONTAS | ] Art. 3º O Documento de Separação e Alocação de Contas (DSAC) deve contemplar as informações, constantes dos Anexos I, II e III deste Regulamento, relativas a todas as prestadoras de serviços de telecomunicações pertencentes ao Grupo. Parágrafo único. O DSAC deve ser apresentado separadamente para cada região do Plano Geral de Outorgas (PGO) em que atue o Grupo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo1!art3
