Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 1",1,2,"[  ] 1. Objetivo",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite1
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 1",3,4,"[  ] 1. 1 O objetivo deste Anexo é estabelecer os critérios e parâmetros para a transformação da Base de Custos Históricos (HCA: Historical Cost Accounting) em Base de Custos Correntes (CCA: Current Cost Accounting), a ser utilizada para apuração dos custos correntes dos produtos ofertados pelos Grupos para todos os negócios, assim como definidos no Anexo I. O principal impacto da transformação ocorre em relação ao Custo de Capital a ser apurado, embora devam ser considerados os efeitos nos custos de operação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite1
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 2",5,6,"[  ] 2. Otimização da capacidade",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite2
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 2",7,8,"[  ] 2. 1. A CCA deve ser constituída considerando a utilização de ativos e recursos de maneira eficiente, tendo por base a rede real do Grupo. A capacidade excedente deve ser indicada sempre que existente. Caso não exista capacidade excedente na rede do Grupo, deve-se justificar a não inclusão desse ajuste.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite2
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 2",9,10,"[  ] 2. 2 Considera-se que um ativo tem capacidade excedente se existe capacidade não utilizada, além de margem de segurança aceitável, que não se espera utilizar em um horizonte de 3 (três) anos.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite2
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 2",11,12,"[  ] 2. 2.1. Quando a capacidade de um ativo puder apenas ser aumentada em degraus, a existência de excesso de capacidade pode ser desconsiderada até a configuração mínima necessária para atender a demanda projetada.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite2
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 2",13,14,"[  ] 2. 2.2. A capacidade excedente deve ser indicada no Apêndice E, para cada ativo.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite2
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 2",15,16,"[  ] 2. 3. Ativos que não estiverem em uso no momento da avaliação, e que não se pretende utilizar no horizonte de 3 (três) anos, devem ser excluídos da avaliação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite2
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 3",17,18,"[  ] 3. Classificação de Ativos",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite3
"ITE","res_anatel_396_2005.anexo3, , caput, , Item 3",19,20,"[  ] 3. 1. Os ativos operacionais da Prestadora de Serviços de Telecomunicações identificados nos registros contábeis e utilizados, ainda que parcialmente, na prestação do serviço, cujo valor deve ser calculado baseado em CCA, devem ser classificados em 5 (cinco) categorias.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2005-03-31;396!anexo3!ite3
