Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anatel_765_2023, Art. 1º, caput",2,3,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Aprovar o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações, na forma do Anexo a esta Resolução.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art1_cpt
"CPT","res_anatel_765_2023, Art. 39., caput",6,7,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação aos incisos I e III e inserir os §§ 1º e 2º ao art. 8º do Regulamento Geral de Acessibilidade, aprovado pela Resolução nº 667, de 30 de maio de 2016, publicada no Diário Oficial da União do dia 31 de maio de 2016, e alterado pela Resolução nº 677, de 30 de maio de 2017, publicada no Diário Oficial da União do dia 31 de maio de 2017, passando a vigorar nos termos abaixo: disponibilizar ao assinante com deficiência visual, mediante solicitação, a opção de receber em braile, com fontes ampliadas ou outro formato eletrônico acessível, dentre outros, os documentos da Oferta, incluindo a etiqueta padrão, e o documento de cobrança; disponibilizar Ofertas para pessoas com deficiência auditiva, garantindo que somente sejam cobrados os serviços condizentes com o tipo de deficiência auditiva; Os documentos previstos no inciso I devem ser enviados ao assinante com deficiência visual em até 30 (trinta) dias da solicitação, exceto no que se refere ao documento de cobrança, que deverá ser encaminhado em até 5 (cinco) dias antes da data do vencimento. No caso de o primeiro envio do documento de cobrança em formato acessível não ser passível de ser realizado em até 5 (cinco) dias antes da data de vencimento, a Prestadora deverá efetuar a prorrogação do vencimento ou a isenção de multas e juros.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art39_cpt
"CPT","res_anatel_765_2023, Art. 40., caput",10,11,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação ao art. 13-A do Regulamento Geral de Acessibilidade em Serviços de Telecomunicações de interesse coletivo, aprovado pela Resolução nº 667, de 30 de maio de 2016, publicada no Diário Oficial da União do dia 31 de maio de 2016, passando a vigorar nos termos abaixo: Os assinantes com deficiência têm direito à Unidade Receptora Decodificadora (URD) que permita a utilização de recursos de acessibilidade no SeAC em todas as suas saídas de sinal, analógicas e digitais, sempre que por eles solicitado, independentemente da Oferta e sem custo adicional.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art40_cpt
"CPT","res_anatel_765_2023, Art. 41., caput",14,15,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação ao caput do art. 32 do Regulamento de Qualidade dos Serviços de Telecomunicações - RQUAL, aprovado pela Resolução nº 717, de 23 de dezembro de 2019, publicada no Diário Oficial da União do dia 23 de dezembro de 2019, passando a vigorar nos termos abaixo: As Prestadoras deverão prover automaticamente o ressarcimento aos Consumidores prejudicados por interrupções dos serviços até o segundo mês subsequente ao evento, respeitando o ciclo de faturamento, de forma proporcional ao tempo interrompido e ao valor correspondente à Oferta contratada pelo Consumidor, conforme disposto no Manual Operacional.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art41_cpt
"CPT","res_anatel_765_2023, Art. 42., caput",18,19,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação aos incisos XI, XII, XIII, XIV e XV do art. 2º do Regulamento de Universalização do Serviço Telefônico Fixo Comutado Prestado no Regime Público, aprovado pela Resolução nº 754, de 12 de agosto de 2022, publicada no Diário Oficial da União do dia 15 de agosto de 2022, passando a vigorar nos termos abaixo: Meio de pagamento alternativo: meio de pagamento complementar ao meio de pagamento básico vinculado a Oferta, de livre implantação e comercialização pela concessionária de STFC; Oferta de Plano de Atendimento Rural: Oferta que se presta exclusivamente ao atendimento fora da ATB; Oferta de Plano de Atendimento Rural Complementar (PAR-C): Oferta de Plano de Atendimento Rural comercializada obrigatoriamente nas áreas situadas à distância geodésica igual ou inferior a 30 (trinta) quilômetros dos limites de uma localidade-sede municipal; Oferta de Plano de Atendimento Rural Facultativo (PAR-F): Oferta de Plano de Atendimento Rural comercializada facultativamente pelas Prestadoras; Oferta de Plano de Atendimento Rural Suplementar (PAR-S): Oferta de Plano de Atendimento Rural comercializada obrigatoriamente nas áreas consideradas como fora da ATB, situadas à distância geodésica superior a 30 (trinta) quilômetros dos limites de uma localidade-sede municipal;",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art42_cpt
"CPT","res_anatel_765_2023, Art. 43., caput",22,23,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação ao art. 24 do Regulamento de Universalização do Serviço Telefônico Fixo Comutado Prestado no Regime Público, aprovado pela Resolução nº 754, de 12 de agosto de 2022, publicada no Diário Oficial da União do dia 15 de agosto de 2022, passando a vigorar nos termos abaixo: O AICE pertence à Classe Especial da Oferta de Plano Básico do STFC na modalidade local, comercializado obrigatoriamente pelas concessionárias, nas localidades com acessos individuais do STFC, de forma exclusiva ao Assinante de Baixa Renda.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art43_cpt
"CPT","res_anatel_765_2023, Art. 44., caput",26,27,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação ao art. 26 do Regulamento de Universalização do Serviço Telefônico Fixo Comutado Prestado no Regime Público, aprovado pela Resolução nº 754, de 12 de agosto de 2022, publicada no Diário Oficial da União do dia 15 de agosto de 2022, passando a vigorar nos termos abaixo: O AICE é oferecido e comercializado obrigatoriamente como Oferta com tarifa de assinatura na forma de pagamento pós-paga, sendo as demais tarifas comercializadas na forma de pagamento pré-paga, com crédito vinculado ao terminal, nos termos da regulamentação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art44_cpt
"CPT","res_anatel_765_2023, Art. 45., caput",30,31,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação ao art. 27 do Regulamento de Universalização do Serviço Telefônico Fixo Comutado Prestado no Regime Público, aprovado pela Resolução nº 754, de 12 de agosto de 2022, publicada no Diário Oficial da União do dia 15 de agosto de 2022, passando a vigorar nos termos abaixo: É facultada a oferta e comercialização do AICE com tarifa de assinatura na forma de pagamento pré-paga, com crédito vinculado ao terminal, mediante Oferta Alternativa de Serviço, observados os seguintes critérios e as demais disposições regulamentares:",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art45_cpt
"CPT","res_anatel_765_2023, Art. 46., caput",34,35,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação ao art. 29 do Regulamento de Universalização do Serviço Telefônico Fixo Comutado Prestado no Regime Público, aprovado pela Resolução nº 754, de 12 de agosto de 2022, publicada no Diário Oficial da União do dia 15 de agosto de 2022, passando a vigorar nos termos abaixo: Quando o assinante deixar de se enquadrar nos critérios de elegibilidade para Oferta do AICE, a concessionária deverá notificá-lo para se manifestar quanto ao interesse em aderir a outra Oferta, no prazo máximo de 90 (noventa) dias, contados da notificação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art46_cpt
"CPT","res_anatel_765_2023, Art. 47., caput",38,39,"[ Conforme Acórdão n° 228, de 28 de agosto de 2024, vigente apenas o parágrafo único do art. 84 e artigos 93 a 96 da Resolução nº 765, de 6 de novembro de 2023. Os demais dispositivos desta resolução terão vigência a partir de 1° de Setembro de 2025. Portaria Anatel nº 3032, de 01 de setembro de 2025 (SEI nº 14293062), que define o Índice Nacional de Preços ao Consumidor Amplo (IPCA) como o índice de correção monetária a ser empregado para o cálculo do valor a ser devolvido ao Consumidor nos termos do art. 62, § 2º. Aprova o Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações. Manual Operacional do Regulamento Geral de Direitos do Consumidor de Serviços de Telecomunicações - 3ª Revisão Jun/2025 | ] Dar nova redação aos incisos IV a VI e ao § 3º do art. 30 do Regulamento de Universalização do Serviço Telefônico Fixo Comutado Prestado no Regime Público, aprovado pela Resolução nº 754, de 12 de agosto de 2022, publicada no Diário Oficial da União do dia 15 de agosto de 2022, passando a vigorar nos termos da redação abaixo: pela fruição de tráfego telefônico local originado no AICE destinado a outro terminal do STFC, será cobrada tarifa de utilização respeitados os critérios e limites máximos aplicáveis às demais classes da Oferta de Plano Básico, nos termos do contrato de concessão; pela fruição de tráfego telefônico originado no AICE destinado a outros serviços de telecomunicações, será cobrada tarifa por tempo de utilização, respeitados os critérios e limites máximos aplicáveis às demais classes da Oferta de Plano Básico, nos termos do contrato de concessão; pela fruição de tráfego telefônico originado no AICE, será cobrada pela concessionária do STFC na modalidade longa distância nacional e internacional tarifa por tempo de utilização, respeitados os critérios e limites máximos aplicáveis às demais classes da Oferta de Plano Básico, nos termos do contrato de concessão; e, As concessionárias do STFC nas modalidades longa distância nacional e internacional devem oferecer, visando o adequado atendimento ao assinante, Oferta na forma de pagamento pré-paga, observados os termos da regulamentação.",urn:lex:br:agencia.nacional.telecomunicacoes:resolucao:2023-11-06;765!art47_cpt
