Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anpd_2_2022.anexo1, Art. 1º, caput",4,5,"[ DISPOSIÇÕES GERAIS | DISPOSIÇÕES PRELIMINARES | ] Este regulamento tem por objetivo regulamentar a aplicação da Lei nº 13.709, de 14 de agosto de 2018, Lei Geral de Proteção de Dados Pessoais (LGPD), para agentes de tratamento de pequeno porte, com base nas competências previstas no art. 55-J, inciso XVIII, da referida Lei.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art1_cpt
"PAR","res_anpd_2_2022.anexo1, Art. 1º, Parágrafo único.",6,7,"[ DISPOSIÇÕES GERAIS | DISPOSIÇÕES PRELIMINARES | ] Este regulamento não se aplica ao tratamento de dados pessoais realizado por pessoa natural para fins exclusivamente particulares e não econômicos, bem como nas demais hipóteses previstas no art. 4º da LGPD.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art1_par1u
"CPT","res_anpd_2_2022.anexo1, Art. 2º, caput",12,21,"[ DISPOSIÇÕES GERAIS | DAS DEFINIÇÕES | ] Para efeitos deste regulamento são adotadas as seguintes definições: agentes de tratamento de pequeno porte: microempresas, empresas de pequeno porte,startups, pessoas jurídicas de direito privado, inclusive sem fins lucrativos, nos termos da legislação vigente, bem como pessoas naturais e entes privados despersonalizados que realizam tratamento de dados pessoais, assumindo obrigações típicas de controlador ou de operador; microempresas e empresas de pequeno porte: sociedade empresária, sociedade simples, sociedade limitada unipessoal, nos termos do art. 41 da Lei nº 14.195, de 26 de agosto de 2021, e o empresário a que se refere o art. 966 da Lei nº 10.406, de 10 de janeiro de 2002 (Código Civil), incluído o microempreendedor individual, devidamente registrados no Registro de Empresas Mercantis ou no Registro Civil de Pessoas Jurídicas, que se enquadre nos termos do art. 3º e 18-A, §1º da Lei Complementar nº 123, de 14 de dezembro de 2006; startups: organizações empresariais ou societárias, nascentes ou em operação recente, cuja atuação caracteriza-se pela inovação aplicada a modelo de negócios ou a produtos ou serviços ofertados, que atendam aos critérios previstos no Capítulo II da Lei Complementar nº 182, de 1º de junho de 2021; e zonas acessíveis ao público: espaços abertos ao público, como praças, centros comerciais, vias públicas, estações de ônibus, de metrô e de trem, aeroportos, portos, bibliotecas públicas, dentre outros.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art2_cpt
"CPT","res_anpd_2_2022.anexo1, Art. 3º, caput",24,31,"[ DISPOSIÇÕES GERAIS | DAS DEFINIÇÕES | ] Não poderão se beneficiar do tratamento jurídico diferenciado previsto neste Regulamento os agentes de tratamento de pequeno porte que: realizem tratamento de alto risco para os titulares, ressalvada a hipótese prevista no art. 8º; aufiram receita bruta superior ao limite estabelecido no art. 3º, II, da Lei Complementar nº 123, de 2006 ou, no caso de startups, no art. 4º, § 1º, I, da Lei Complementar nº 182, de 2021; ou pertençam a grupo econômico de fato ou de direito, cuja receita global ultrapasse os limites referidos no inciso II, conforme o caso.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art3_cpt
"CPT","res_anpd_2_2022.anexo1, Art. 4º, caput",36,53,"[ DISPOSIÇÕES GERAIS | DO TRATAMENTO DE ALTO RISCO | ] Para fins deste regulamento, e sem prejuízo do disposto no art. 16, será considerado de alto risco o tratamento de dados pessoais que atender cumulativamente a pelo menos um critério geral e um critério específico, dentre os a seguir indicados: critérios gerais: tratamento de dados pessoais em larga escala; ou tratamento de dados pessoais que possa afetar significativamente interesses e direitos fundamentais dos titulares; critérios específicos: uso de tecnologias emergentes ou inovadoras; vigilância ou controle de zonas acessíveis ao público; decisões tomadas unicamente com base em tratamento automatizado de dados pessoais, inclusive aquelas destinadas a definir o perfil pessoal, profissional, de saúde, de consumo e de crédito ou os aspectos da personalidade do titular; ou utilização de dados pessoais sensíveis ou de dados pessoais de crianças, de adolescentes e de idosos.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art4_cpt
"PAR","res_anpd_2_2022.anexo1, Art. 4º, § 1º",54,55,"[ DISPOSIÇÕES GERAIS | DO TRATAMENTO DE ALTO RISCO | ] O tratamento de dados pessoais em larga escala será caracterizado quando abranger número significativo de titulares, considerando-se, ainda, o volume de dados envolvidos, bem como a duração, a frequência e a extensão geográfica do tratamento realizado.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art4_par1
"PAR","res_anpd_2_2022.anexo1, Art. 4º, § 2º",56,57,"[ DISPOSIÇÕES GERAIS | DO TRATAMENTO DE ALTO RISCO | ] O tratamento de dados pessoais que possa afetar significativamente interesses e direitos fundamentais será caracterizado, dentre outras situações, naquelas em que a atividade de tratamento puder impedir o exercício de direitos ou a utilização de um serviço, assim como ocasionar danos materiais ou morais aos titulares, tais como discriminação, violação à integridade física, ao direito à imagem e à reputação, fraudes financeiras ou roubo de identidade.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art4_par2
"PAR","res_anpd_2_2022.anexo1, Art. 4º, § 3º",58,59,"[ DISPOSIÇÕES GERAIS | DO TRATAMENTO DE ALTO RISCO | ] A ANPD poderá disponibilizar guias e orientações com o objetivo de auxiliar os agentes de tratamento de pequeno porte na avaliação do tratamento de alto risco.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art4_par3
"CPT","res_anpd_2_2022.anexo1, Art. 5º, caput",62,63,"[ DISPOSIÇÕES GERAIS | DO TRATAMENTO DE ALTO RISCO | ] Caberá ao agente de tratamento de pequeno porte, quando solicitado pela ANPD, comprovar que se enquadra nas disposições do art. 2º e do art. 3º deste regulamento em até quinze dias.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art5_cpt
"CPT","res_anpd_2_2022.anexo1, Art. 6º, caput",70,71,"[ DO TRATAMENTO DE DADOS PESSOAIS PELOS AGENTES DE TRATAMENTO DE PEQUENO PORTE | DAS DISPOSIÇÕES GERAIS | ] A dispensa ou flexibilização das obrigações dispostas neste regulamento não isenta os agentes de tratamento de pequeno porte do cumprimento dos demais dispositivos da LGPD, inclusive das bases legais e dos princípios, de outras disposições legais, regulamentares e contratuais relativas à proteção de dados pessoais, bem como direitos dos titulares.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2022-01-27;2!anexo1!art6_cpt
