Tipo,Rotulo,Num_Inicio,Num_Final,Texto,urn
"CPT","res_anpd_4_2022, Art. 1º, caput",2,3,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Aprovar o Regulamento de Dosimetria e Aplicação de Sanções Administrativas, na forma do Anexo a esta Resolução.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art1_cpt
"CPT","res_anpd_4_2022, Art. 2º, caput",6,7,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] O Regulamento do Processo de Fiscalização e do Processo Administrativo Sancionador no âmbito da Autoridade Nacional de Proteção de Dados, aprovado pela Resolução CD/ANPD nº 1, de 28 de outubro de 2021, publicada no Diário Oficial da União de 29 de outubro de 2021, passa a vigorar com as seguintes alterações: Poderão ser adotadas outras medidas não previstas neste artigo, se compatíveis com o disposto nos arts. 30 e 31. O não atendimento de medida preventiva: enseja a progressão de atuação da ANPD para que, a seu critério, adote outras medidas preventivas ou atue de modo repressivo, com a adoção de medidas compatíveis; e será considerado circunstância agravante em caso de instauração de processo administrativo sancionador. As medidas dispostas neste Capítulo IV não se confundem com as medidas preventivas a que se refere o art. 26, inciso IV do Anexo I do Decreto nº 10.474, de 2020. A decisão será motivada, com indicação dos fatos e dos fundamentos jurídicos, bem como aplicará a respectiva sanção, quando cabível, seguindo os parâmetros e critérios definidos no § 1º do art. 52 da LGPD e na regulamentação expedida pela ANPD. Nos casos em que for imposta ao infrator a adoção de medidas, na forma de obrigação de fazer ou de não fazer, a decisão também deverá conter, quando aplicável: o prazo para execução e as condições de aferição pela ANPD, ou de demonstração pelo infrator, do cumprimento das medidas impostas; e o valor da multa simples ou da multa diária com a indicação do prazo para pagamento. Mantida ou reconsiderada parcialmente a decisão, a Coordenação-Geral de Fiscalização remeterá o processo ao Conselho Diretor para prosseguimento, acompanhado de análise dos pressupostos gerais de admissibilidade recursal, da concessão do efeito suspensivo e do mérito do pedido, além de outras informações que entender pertinentes.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art2_cpt
"CPT","res_anpd_4_2022, Art. 3º, caput",10,15,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Ficam revogados os seguintes dispositivos do Regulamento do Processo de Fiscalização e do Processo Administrativo Sancionador no âmbito da Autoridade Nacional de Proteção de Dados, aprovado pela Resolução CD/ANPD nº 1, de 28 de outubro de 2021, publicada no Diário Oficial da União de 29 de outubro de 2021: § 4º do art. 35; e § 3º do art. 36.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art3_cpt
"CPT","res_anpd_4_2022, Art. 4º, caput",18,19,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Esta Resolução entra em vigor na data de sua publicação. WALDEMAR GONÇALVES ORTUNHO JUNIOR Diretor-Presidente",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art4_cpt
"ART","res_anpd_4_2022, Art. 1º",1,4,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Art. 1º Aprovar o Regulamento de Dosimetria e Aplicação de Sanções Administrativas, na forma do Anexo a esta Resolução.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art1
"ART","res_anpd_4_2022, Art. 2º",5,8,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Art. 2º O Regulamento do Processo de Fiscalização e do Processo Administrativo Sancionador no âmbito da Autoridade Nacional de Proteção de Dados, aprovado pela Resolução CD/ANPD nº 1, de 28 de outubro de 2021, publicada no Diário Oficial da União de 29 de outubro de 2021, passa a vigorar com as seguintes alterações: Art. 32. § 1º Poderão ser adotadas outras medidas não previstas neste artigo, se compatíveis com o disposto nos arts. 30 e 31. § 2º O não atendimento de medida preventiva: I – enseja a progressão de atuação da ANPD para que, a seu critério, adote outras medidas preventivas ou atue de modo repressivo, com a adoção de medidas compatíveis; e II – será considerado circunstância agravante em caso de instauração de processo administrativo sancionador. § 3º As medidas dispostas neste Capítulo IV não se confundem com as medidas preventivas a que se refere o art. 26, inciso IV do Anexo I do Decreto nº 10.474, de 2020. Art. 55. § 1º A decisão será motivada, com indicação dos fatos e dos fundamentos jurídicos, bem como aplicará a respectiva sanção, quando cabível, seguindo os parâmetros e critérios definidos no § 1º do art. 52 da LGPD e na regulamentação expedida pela ANPD. § 2º Nos casos em que for imposta ao infrator a adoção de medidas, na forma de obrigação de fazer ou de não fazer, a decisão também deverá conter, quando aplicável: I – o prazo para execução e as condições de aferição pela ANPD, ou de demonstração pelo infrator, do cumprimento das medidas impostas; e II – o valor da multa simples ou da multa diária com a indicação do prazo para pagamento. Art. 62. § 3º Mantida ou reconsiderada parcialmente a decisão, a Coordenação-Geral de Fiscalização remeterá o processo ao Conselho Diretor para prosseguimento, acompanhado de análise dos pressupostos gerais de admissibilidade recursal, da concessão do efeito suspensivo e do mérito do pedido, além de outras informações que entender pertinentes.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art2
"ART","res_anpd_4_2022, Art. 3º",9,16,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Art. 3º Ficam revogados os seguintes dispositivos do Regulamento do Processo de Fiscalização e do Processo Administrativo Sancionador no âmbito da Autoridade Nacional de Proteção de Dados, aprovado pela Resolução CD/ANPD nº 1, de 28 de outubro de 2021, publicada no Diário Oficial da União de 29 de outubro de 2021: I – § 4º do art. 35; e II – § 3º do art. 36.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art3
"ART","res_anpd_4_2022, Art. 4º",17,20,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | ] Art. 4º Esta Resolução entra em vigor na data de sua publicação. WALDEMAR GONÇALVES ORTUNHO JUNIOR Diretor-Presidente",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art4
"INC","res_anpd_4_2022, Art. 3º, caput, Inciso I",11,12,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | Art. 3º Ficam revogados os seguintes dispositivos do Regulamento do Processo de Fiscalização e do Processo Administrativo Sancionador no âmbito da Autoridade Nacional de Proteção de Dados, aprovado pela Resolução CD/ANPD nº 1, de 28 de outubro de 2021, publicada no Diário Oficial da União de 29 de outubro de 2021: ] I – § 4º do art. 35; e",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art3_cpt_inc1
"INC","res_anpd_4_2022, Art. 3º, caput, Inciso II",13,14,"[ Aprova o Regulamento de Dosimetria e Aplicação de Sanções Administrativas. | Art. 3º Ficam revogados os seguintes dispositivos do Regulamento do Processo de Fiscalização e do Processo Administrativo Sancionador no âmbito da Autoridade Nacional de Proteção de Dados, aprovado pela Resolução CD/ANPD nº 1, de 28 de outubro de 2021, publicada no Diário Oficial da União de 29 de outubro de 2021: ] II – § 3º do art. 36.",urn:lex:br:agencia.nacional.protecao.dados:resolucao:2023-02-24;4!art3_cpt_inc2
